step,price,openInterest,tvl,marginVaultDelta,insuranceBalance,insuranceBalanceDelta,protocolTreasuryBalance,protocolTreasuryDelta,badDebt,badDebtDelta,protocolRevenue,protocolRevenueDelta,sumAccountCollateral,accountCollateralDelta,sumReservedMargin,reservedMarginDelta,sumAvailableCollateral,availableCollateralDelta,sumTraderFundingOwed,traderFundingOwedDelta,solvencyBuffer,makerFeesCollected,takerFeesCollected,fundingFeesTransferred,insuranceFundInflow,insuranceFundOutflow,liquidationInsuranceInflow,liquidations,liquidatorOrders,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
0,2003.84,15034.0,84988.7245,0.0,0.0,0.0,11.2755,0.0,0.0,0.0,11.2755,0.0,84988.7245,0.0,1503.4,0.0,83485.3245,0.0,0.0,0.0,0.0,3.7585,7.517,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,3,5,0,6,6,0,0.000,11.83,1.000,19.19,11.00,7.00,0
1,2002.29,20579.0,84920.8645,-67.86,25.753,25.753,23.9505,12.675,0.0,0.0,23.9505,12.675,84915.053928,-73.670572,2057.9,554.5,82857.153928,-628.170572,0.0,0.0,5.810572,7.9835,15.967,0.0,25.753,0.0,25.753,2,2,29.432,55.185,9929.568428,0,2,6,0,6,4,2,33.333,10.71,0.697,7.73,4.00,3.00,0
2,2002.16,15167.0,84808.054,-112.8105,75.999,50.246,29.091,5.1405,0.0,0.0,29.091,5.1405,84802.51831,-112.535618,1516.7,-541.2,83285.81831,428.664382,0.0,0.0,5.53569,9.697,19.394,0.0,75.999,0.0,75.999,2,2,86.856,162.855,19812.278573,0,3,7,0,6,6,0,33.333,10.57,0.166,0.63,0.00,0.00,0
3,2004.71,94301.0,84542.731,-265.323,167.083,91.084,99.234,70.143,0.0,0.0,99.234,70.143,84527.299148,-275.219162,9430.1,7913.4,75097.199148,-8188.619162,0.0,0.0,15.431852,33.078,66.156,0.0,167.083,0.0,167.083,5,5,190.952,358.035,44598.720921,0,3,7,0,6,6,0,83.333,11.92,1.047,12.72,7.00,5.00,0
4,2004.78,51182.0,83819.6845,-723.0465,502.81,335.727,102.8655,3.6315,0.0,0.0,102.8655,3.6315,83802.515077,-724.784071,5118.2,-4311.9,78684.315077,3587.115929,0.0,0.0,17.169423,34.2885,68.577,0.0,502.81,0.0,502.81,3,3,574.64,1077.45,58839.607849,0,3,7,0,6,6,0,50.000,11.88,95.026,0.38,0.00,0.00,0
