step,liquidatorOrders,liquidations,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,insuranceFundOutflow
0,2,0,0.0,0.0,0.0,0.0
1,6,3,0.000038,0.000072,0.004729,0.000109
2,6,3,0.000062,0.000117,0.007661,0.00093
3,7,4,0.0001,0.000189,0.01235,0.001482
4,7,3,0.000121,0.000229,0.015008,0.001482
5,7,3,0.000142,0.000268,0.017612,0.001999
6,9,5,0.000185,0.00035,0.022954,0.004814
7,9,5,0.000231,0.000437,0.028659,0.004814
8,10,6,0.000267,0.000504,0.033082,0.006857
9,9,5,0.000306,0.000577,0.03786,0.007221
10,11,6,0.000341,0.000644,0.042237,0.007612
11,9,5,0.000366,0.000691,0.04536,0.007612
12,10,5,0.00041,0.000774,0.050799,0.009086
13,11,6,0.000456,0.000861,0.056517,0.009086
14,10,6,0.00049,0.000926,0.060761,0.010459
15,10,6,0.000529,0.000999,0.065546,0.012385
16,10,5,0.000553,0.001044,0.068532,0.013987
17,9,4,0.000578,0.001091,0.071642,0.013987
18,10,5,0.000606,0.001144,0.07513,0.014813
19,8,4,0.000639,0.001207,0.079263,0.014813
20,10,5,0.000684,0.001293,0.084872,0.018083
21,9,5,0.000726,0.001372,0.090036,0.020918
22,9,5,0.000755,0.001426,0.093589,0.023222
23,11,6,0.000783,0.001479,0.097074,0.023222
24,9,5,0.000809,0.001528,0.100325,0.023222
25,12,7,0.000842,0.00159,0.104415,0.023222
26,12,7,0.000897,0.001693,0.111171,0.0259
27,10,5,0.000937,0.001769,0.116159,0.0259
28,9,5,0.000962,0.001817,0.119298,0.027001
29,10,6,0.001017,0.001921,0.126132,0.02818
30,10,5,0.00105,0.001984,0.130275,0.029685
31,10,5,0.00108,0.002041,0.134023,0.030866
32,10,5,0.001126,0.002128,0.1397,0.033441
33,9,5,0.001163,0.002197,0.144255,0.035388
34,11,6,0.001201,0.002268,0.148898,0.037396
35,11,6,0.001255,0.00237,0.155575,0.037396
36,9,5,0.001289,0.002435,0.159846,0.039378
37,12,7,0.001322,0.002497,0.163931,0.039378
38,10,6,0.001374,0.002595,0.170349,0.039378
39,10,6,0.001413,0.002669,0.175233,0.040271
40,9,5,0.001444,0.002728,0.179105,0.040271
41,10,5,0.001488,0.00281,0.18448,0.041475
42,10,6,0.001537,0.002903,0.190584,0.041689
43,10,6,0.00159,0.003003,0.197106,0.044711
44,10,6,0.001627,0.003074,0.201744,0.046201
45,11,6,0.001668,0.003151,0.206759,0.046201
46,11,6,0.001715,0.003239,0.212499,0.049473
47,11,6,0.001747,0.0033,0.216517,0.049507
48,8,4,0.001771,0.003346,0.219517,0.051314
49,10,6,0.001807,0.003414,0.223991,0.052833
50,9,5,0.001833,0.003463,0.227227,0.054663
51,10,6,0.001864,0.003522,0.231112,0.054837
52,11,6,0.001893,0.003577,0.234695,0.054837
53,11,6,0.001924,0.003635,0.238505,0.054837
54,9,5,0.001962,0.003706,0.243162,0.056233
55,9,5,0.002002,0.003782,0.248154,0.057325
56,10,6,0.00205,0.003873,0.25413,0.061113
57,9,5,0.002086,0.003942,0.258634,0.063844
58,11,6,0.002119,0.004004,0.262703,0.065505
59,11,6,0.002161,0.004082,0.267847,0.066677
60,10,6,0.002193,0.004142,0.271804,0.066677
61,9,5,0.002223,0.004198,0.27551,0.067002
62,8,4,0.002258,0.004264,0.279826,0.067002
63,10,6,0.002286,0.004317,0.283303,0.069077
64,9,5,0.002329,0.004398,0.288599,0.069571
65,8,4,0.002355,0.004448,0.291869,0.071341
66,11,6,0.002409,0.004549,0.298483,0.071341
67,10,5,0.002449,0.004625,0.303471,0.073228
68,10,6,0.002489,0.004701,0.30847,0.075692
69,8,4,0.002509,0.004739,0.311004,0.075858
70,10,6,0.002553,0.004823,0.316486,0.077096
71,12,7,0.002599,0.00491,0.322201,0.079519
72,10,6,0.002646,0.004999,0.328036,0.079519
73,9,5,0.002685,0.005073,0.332867,0.079519
74,10,5,0.002708,0.005117,0.335777,0.079519
75,9,5,0.002736,0.00517,0.339286,0.081446
76,8,4,0.002766,0.005227,0.343025,0.081507
77,9,5,0.002796,0.005284,0.346744,0.081507
78,10,5,0.002842,0.00537,0.352373,0.081507
79,12,7,0.002878,0.005438,0.356866,0.084328
80,9,5,0.002921,0.005519,0.362176,0.086537
81,9,5,0.00296,0.005593,0.367049,0.086537
82,11,6,0.003004,0.005676,0.372515,0.086537
83,9,5,0.003037,0.005738,0.376587,0.08862
84,9,5,0.003077,0.005814,0.38154,0.089455
85,11,6,0.003117,0.00589,0.386506,0.089455
86,8,4,0.003147,0.005946,0.390185,0.091213
87,9,5,0.00319,0.006028,0.395555,0.094184
88,9,5,0.003225,0.006095,0.399921,0.095761
89,10,5,0.003263,0.006167,0.404663,0.098277
90,8,4,0.003291,0.00622,0.408171,0.098527
91,10,5,0.003332,0.006297,0.413246,0.098527
92,10,5,0.003376,0.00638,0.418667,0.098851
93,9,5,0.003403,0.006431,0.422007,0.100071
94,10,6,0.003441,0.006502,0.426673,0.101393
95,10,6,0.003478,0.006573,0.431312,0.103537
96,11,6,0.00351,0.006634,0.435332,0.104708
97,10,6,0.003545,0.006701,0.439712,0.105705
98,11,6,0.003589,0.006784,0.445131,0.107948
99,9,4,0.00361,0.006824,0.447752,0.108272
100,11,6,0.003658,0.006914,0.453642,0.108272
101,10,6,0.003712,0.007016,0.460313,0.108272
102,11,6,0.003762,0.007111,0.466534,0.108604
103,10,6,0.003807,0.007196,0.472074,0.108604
104,10,6,0.003853,0.007282,0.477735,0.108604
105,8,4,0.003872,0.007319,0.480157,0.108604
106,9,5,0.003918,0.007405,0.485776,0.108753
107,10,6,0.003953,0.007471,0.490097,0.111236
108,9,5,0.003984,0.007529,0.493935,0.111954
109,9,4,0.004007,0.007572,0.496767,0.113671
110,10,6,0.004044,0.007641,0.501319,0.113671
111,9,5,0.004084,0.007716,0.506256,0.113812
112,11,6,0.00412,0.007784,0.510695,0.113812
113,9,5,0.004142,0.007826,0.513487,0.11509
114,10,5,0.004184,0.007905,0.518676,0.11509
115,12,7,0.004219,0.007971,0.523026,0.115138
116,11,6,0.004255,0.00804,0.527536,0.117534
117,10,6,0.004303,0.008131,0.53351,0.119993
118,10,5,0.004328,0.008177,0.536567,0.121262
119,11,6,0.004368,0.008252,0.541456,0.121262
120,11,6,0.004405,0.008321,0.545976,0.124045
121,11,6,0.004441,0.008388,0.550386,0.126702
122,10,5,0.004463,0.00843,0.553165,0.128127
123,10,6,0.004499,0.008498,0.557621,0.129834
124,9,5,0.004538,0.008571,0.562387,0.129972
125,8,4,0.004563,0.008619,0.565513,0.131127
126,9,5,0.004587,0.008664,0.568496,0.131949
127,10,5,0.004615,0.008718,0.572018,0.131949
128,11,6,0.004654,0.008792,0.576842,0.131949
129,12,7,0.004704,0.008885,0.582963,0.133264
130,9,5,0.004745,0.008962,0.587999,0.133264
131,10,5,0.004783,0.009034,0.592739,0.133264
132,10,6,0.004825,0.009113,0.597893,0.133913
133,9,5,0.004859,0.009176,0.602056,0.13453
134,10,6,0.004889,0.009233,0.605801,0.13453
135,11,6,0.004923,0.009298,0.610045,0.13453
136,11,6,0.004969,0.009386,0.615782,0.13453
137,9,5,0.005012,0.009467,0.621093,0.13453
138,9,5,0.005037,0.009514,0.624186,0.135025
139,11,6,0.005087,0.009608,0.630355,0.137461
140,11,6,0.00512,0.009671,0.634479,0.137461
141,11,6,0.005166,0.009758,0.640178,0.138683
142,8,4,0.005199,0.009821,0.644288,0.139193
143,11,6,0.005231,0.009882,0.648302,0.141092
144,12,7,0.00527,0.009956,0.653137,0.143277
145,10,5,0.005311,0.010034,0.658233,0.145035
146,8,4,0.005346,0.0101,0.662575,0.145035
147,11,6,0.005397,0.010196,0.668877,0.145035
148,11,6,0.005437,0.010272,0.673869,0.145035
149,11,6,0.005473,0.01034,0.678333,0.14727
150,10,5,0.005516,0.010421,0.683649,0.14727
151,11,6,0.005556,0.010497,0.688643,0.147537
152,9,5,0.005595,0.010571,0.693473,0.150096
153,9,5,0.005622,0.010623,0.696888,0.151889
154,10,5,0.00566,0.010694,0.701533,0.152179
155,10,5,0.005695,0.01076,0.705864,0.152179
156,10,6,0.005749,0.010862,0.712552,0.152179
157,8,4,0.005778,0.010918,0.716204,0.154444
158,10,5,0.005803,0.010965,0.719302,0.154536
159,10,6,0.00584,0.011034,0.723841,0.155692
160,12,7,0.005893,0.011134,0.730371,0.156268
161,10,5,0.005935,0.011214,0.735584,0.156268
162,8,4,0.005963,0.011268,0.739113,0.156268
163,10,6,0.006005,0.011348,0.744332,0.157251
164,10,5,0.00605,0.011432,0.749837,0.157251
165,10,6,0.006078,0.011485,0.753318,0.157251
166,9,5,0.006104,0.011535,0.756583,0.157776
167,10,6,0.006133,0.01159,0.760209,0.157776
168,8,4,0.006157,0.011636,0.763227,0.159303
169,10,5,0.006193,0.011704,0.76771,0.161964
170,10,5,0.006223,0.011761,0.771475,0.162965
171,11,6,0.006275,0.011859,0.777917,0.165409
172,10,5,0.006306,0.011917,0.781755,0.166517
173,8,4,0.006328,0.011958,0.784448,0.166517
174,9,5,0.006372,0.012041,0.789886,0.166517
175,9,5,0.006411,0.012115,0.794732,0.167835
176,11,6,0.006448,0.012184,0.799281,0.169362
177,9,5,0.006485,0.012253,0.803809,0.170147
178,10,5,0.00653,0.012337,0.809322,0.173137
179,9,5,0.006559,0.012391,0.812904,0.175324
180,10,6,0.006611,0.012489,0.819295,0.178783
181,11,6,0.006659,0.012579,0.825211,0.178783
182,10,6,0.006689,0.012636,0.828977,0.178783
183,9,4,0.006717,0.012689,0.832439,0.180267
184,10,5,0.006749,0.01275,0.83645,0.181561
185,9,5,0.006783,0.012814,0.840628,0.181561
186,10,5,0.006827,0.012898,0.846109,0.182302
187,10,6,0.006856,0.012952,0.849654,0.182839
188,11,6,0.00691,0.013053,0.856262,0.183456
189,10,6,0.006946,0.013121,0.860703,0.184978
190,10,5,0.006973,0.013171,0.864001,0.18561
191,11,6,0.007015,0.01325,0.869148,0.186315
192,11,6,0.007064,0.013342,0.875166,0.188447
193,8,4,0.007098,0.013406,0.879367,0.188679
194,10,6,0.007135,0.013476,0.883934,0.18874
195,11,6,0.00718,0.013561,0.889504,0.18874
196,9,5,0.007208,0.013615,0.893023,0.18874
197,10,6,0.007242,0.013679,0.89723,0.189661
198,10,5,0.007273,0.013738,0.901132,0.191554
199,10,6,0.007306,0.013801,0.905275,0.1929
