step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,makerFeesCollected,takerFeesCollected,fundingFeesTransferred,insuranceFundInflow,insuranceFundOutflow,liquidations,liquidatorOrders,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
0,2003.84,2991000.037294,400004.619549,1000000.000461,0.0,0.000184,0.000069,0.000115,0.001709,0.000461,0.0,0,2,0.0,0.0,0.0,19,21,16,10,37,26,1,0.000,6.08,1.143,7.15,5.03,3.96,0
1,2002.29,2982027.072,400004.575803,1000000.000971,0.0,0.000402,0.000151,0.000251,0.003413,0.00108,0.000109,3,6,0.000038,0.000072,0.004729,28,20,11,18,35,25,1,8.571,8.47,1.143,7.27,5.85,3.18,0
2,2002.16,2973081.009034,400004.488882,1000000.000599,0.0,0.000564,0.000211,0.000352,0.005111,0.00153,0.00093,3,6,0.000062,0.000117,0.007661,26,20,16,23,25,18,0,12.000,10.12,1.143,6.05,3.81,3.57,0
3,2004.71,2964161.814946,400004.58664,1000000.000682,0.0,0.000789,0.000295,0.000492,0.006804,0.002165,0.001482,4,7,0.0001,0.000189,0.01235,33,21,14,26,21,15,0,19.048,11.18,1.143,6.75,4.85,2.95,0
4,2004.78,2955269.365814,400004.455395,1000000.001161,0.0,0.000964,0.00036,0.000601,0.008492,0.002644,0.001482,3,7,0.000121,0.000229,0.015008,38,20,13,31,31,22,1,9.677,12.09,1.143,7.43,5.46,3.99,0
5,2003.56,2946403.598392,400004.448747,1000000.001141,0.0,0.001147,0.000428,0.000715,0.010175,0.003142,0.001999,3,7,0.000142,0.000268,0.017612,36,20,16,33,21,15,0,14.286,12.90,1.143,6.88,4.64,4.14,0
6,2000.15,2937564.436325,400004.523442,999999.99903,0.0,0.001396,0.000521,0.00087,0.011853,0.003847,0.004814,5,9,0.000185,0.00035,0.022954,37,21,15,36,24,17,0,20.833,13.57,1.143,5.95,5.92,3.96,0
7,2002.28,2928751.803892,400004.463637,999999.999804,0.0,0.00167,0.000623,0.001041,0.013526,0.004621,0.004814,5,9,0.000231,0.000437,0.028659,40,21,11,40,31,22,1,16.129,14.00,1.143,7.97,5.64,2.93,0
8,2006.26,2919965.572425,400004.531028,999999.99828,0.0,0.001851,0.00069,0.001154,0.015194,0.005141,0.006857,6,10,0.000267,0.000504,0.033082,40,21,17,43,26,18,1,23.077,14.28,1.143,7.25,4.81,2.70,0
9,2008.86,2911205.720839,400004.411944,999999.998573,0.0,0.002085,0.000777,0.0013,0.016857,0.005799,0.007221,5,9,0.000306,0.000577,0.03786,38,21,13,44,21,15,0,23.810,14.24,1.143,7.22,5.98,2.70,0
