step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,makerFeesCollected,takerFeesCollected,fundingFeesTransferred,insuranceFundInflow,insuranceFundOutflow,liquidationInsuranceInflow,liquidations,liquidatorOrders,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,marginPoolBalance,stepMarginPoolInflow,stepMarginPoolOutflow,marginPoolInflow,marginPoolOutflow,stepMakerFeesCollected,stepTakerFeesCollected,makerFeeBpsEffective,takerFeeBpsEffective,stepProtocolLiquidationIncome,protocolLiquidationIncome,stepInsuranceFundInflow,stepFundingFeesTransferred,liquidationRemainingMarginAvg,liquidationRemainingMarginMin,liquidationRemainingMarginMax,liquidationRemainingMarginPctAvg,liquidationRemainingMarginPctMin,liquidationRemainingMarginPctMax,isInsolvent
0,2023.03,15034.0,85000.0,0.0,0.0,11.2755,3.7585,7.517,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,3,5,0,6,6,0,0.000,14.32,1.000,115.13,69.00,46.00,84988.7245,0.0,0.0,0.0,0.0,3.7585,7.517,5.0000,10.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
1,2013.64,31934.0,85000.0,0.0,0.0,23.9505,7.9835,15.967,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,2,5,0,6,4,2,0.000,8.89,1.000,46.38,27.00,18.00,84976.0495,0.0,12.675,0.0,12.675,4.225,8.45,5.0000,10.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
2,2012.88,105364.0,85000.0,0.0,0.0,79.023,26.341,52.682,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,3,5,0,6,6,0,0.000,4.45,1.000,3.79,2.00,1.00,84920.977,0.0,55.0725,0.0,67.7475,18.3575,36.715,5.0000,10.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
3,2028.24,197354.0,85000.0,0.0,0.0,148.0155,49.3385,98.677,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,2,5,0,6,4,2,0.000,3.84,1.000,76.30,45.00,30.00,84851.9845,0.0,68.9925,0.0,136.74,22.9975,45.995,5.0000,10.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
4,2028.70,208242.0,85000.0,0.0,0.0,156.1815,52.0605,104.121,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,2,5,0,6,4,2,0.000,10.58,1.000,2.26,1.00,0.00,84843.8185,0.0,8.166,0.0,144.906,2.722,5.444,5.0000,10.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
5,2021.27,213880.0,85000.0,0.0,0.0,160.41,53.47,106.94,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,2,5,0,6,4,2,0.000,17.69,1.000,36.61,21.00,14.00,84839.59,0.0,4.2285,0.0,149.1345,1.4095,2.819,5.0000,10.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
6,2000.60,259002.0,85000.0,0.0,0.0,194.2515,64.7505,129.501,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,2,5,0,6,4,2,0.000,3.53,1.000,102.30,61.00,40.00,84805.7485,0.0,33.8415,0.0,182.976,11.2805,22.561,5.0000,10.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
7,2013.39,264596.0,85000.0,0.0,0.0,198.447,66.149,132.298,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,5,0,6,2,4,0.000,4.14,1.000,63.94,38.00,25.00,84801.553,0.0,4.1955,0.0,187.1715,1.3985,2.797,5.0000,10.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
8,2037.39,264596.0,85000.0,0.0,0.0,198.447,66.149,132.298,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,5,0,6,0,6,0.000,10.00,1.000,119.24,71.00,47.00,84801.553,0.0,0.0,0.0,187.1715,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
9,2053.29,284888.0,85000.0,0.0,0.0,213.666,71.222,142.444,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,3,5,0,6,6,0,0.000,10.22,1.000,78.01,46.00,31.00,84786.334,0.0,15.219,0.0,202.3905,5.073,10.146,5.0000,10.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
10,2051.31,287754.0,85000.0,0.0,0.0,215.8155,71.9385,143.877,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,2,17,0,6,4,2,0.000,8.72,1.000,9.62,5.00,3.00,84784.1845,0.0,2.1495,0.0,204.54,0.7165,1.433,5.0000,10.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
11,2073.26,328508.0,85000.0,0.0,0.0,246.381,82.127,164.254,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,17,0,6,2,4,0.000,3.00,1.000,107.00,64.00,42.00,84753.619,0.0,30.5655,0.0,235.1055,10.1885,20.377,5.0000,10.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
12,2092.70,339872.0,85000.0,0.0,0.0,254.904,84.968,169.936,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,2,17,0,6,4,2,0.000,4.19,1.000,93.75,56.00,37.00,84745.096,0.0,8.523,0.0,243.6285,2.841,5.682,5.0000,10.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
