step,liquidatorOrders,liquidations,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,insuranceFundOutflow
0,0,0,0.0,0.0,0.0,0.0
1,3,3,60.136,112.755,14780.197569,0.0
2,2,2,127.736,239.505,24562.962713,0.0
3,8,8,568.488,1065.915,63097.631519,0.0
4,2,2,607.64,1139.325,72898.829106,0.0
5,5,5,927.264,1738.62,96379.884113,0.0
6,4,4,1257.024,2356.92,114778.04888,0.0
7,2,2,1279.264,2398.62,124204.644073,0.0
8,6,6,1592.896,2986.68,152313.967774,0.0
9,2,2,1622.928,3042.99,161593.654608,0.0
10,3,3,1845.152,3459.66,173815.622698,0.0
11,5,5,2111.664,3959.37,195513.807845,0.0
12,3,3,2271.024,4258.17,208836.163876,0.0
13,3,3,2341.856,4390.98,222975.859818,0.0
14,2,2,2368.568,4441.065,231766.891349,0.0
15,4,4,2433.096,4562.055,250863.886187,0.0
16,3,3,2475.96,4642.425,264073.543517,0.0
17,3,3,2531.32,4746.225,278145.313964,0.0
18,8,8,2742.424,5142.045,315473.489882,0.0
19,5,5,3087.592,5789.235,336551.58243,0.0
20,1,1,3127.16,5863.425,341159.273416,0.0
21,2,2,3328.176,6240.33,348546.898858,0.0
22,2,2,3367.064,6313.245,357697.060125,0.0
23,2,2,3555.584,6666.72,365739.345359,0.0
24,0,0,3555.584,6666.72,365739.345359,0.0
25,7,7,3916.4,7343.25,396151.781799,0.0
26,1,1,3941.12,7389.6,399635.124503,0.0
27,5,5,4223.776,7919.58,419068.455301,0.0
28,1,1,4239.936,7949.88,423441.195795,0.0
29,3,3,4374.664,8202.495,434519.211749,0.0
30,5,5,4738.928,8885.49,453428.404185,0.0
31,7,7,4960.664,9301.245,481441.355323,0.0
32,2,2,5156.768,9668.94,489141.867382,0.0
33,5,5,5305.224,9947.295,510473.848471,0.0
34,2,2,5567.256,10438.605,518744.8875,0.0
35,5,5,5772.44,10823.325,539781.451957,0.0
36,8,8,6225.776,11673.33,572306.537257,0.0
37,2,2,6378.52,11959.725,580244.085837,0.0
38,2,2,6400.976,12001.83,588876.130019,0.0
39,2,2,6423.432,12043.935,595967.672906,0.0
40,2,2,6444.408,12083.265,604465.780585,0.0
41,2,2,6542.496,12267.18,613146.588081,0.0
42,5,5,6767.968,12689.94,631519.883359,0.0
43,4,4,6927.192,12988.485,645536.782929,0.0
44,1,1,6950.312,13031.835,647761.957809,0.0
45,4,4,7041.304,13202.445,663444.72316,0.0
46,4,4,7258.8,13610.25,677810.341205,0.0
47,6,6,7711.416,14458.905,700396.317947,0.0
48,3,3,7769.432,14567.685,711100.689953,0.0
49,2,2,7865.96,14748.675,717779.696809,0.0
50,4,4,8122.376,15229.455,728515.781056,0.0
51,1,1,8153.912,15288.585,732818.140022,0.0
52,3,3,8215.296,15403.68,741258.241283,0.0
53,2,2,8244.792,15458.985,749624.019763,0.0
54,7,7,8421.792,15790.86,777044.171635,0.0
55,0,0,8421.792,15790.86,777044.171635,0.0
56,1,1,8443.88,15832.275,780420.863866,0.0
57,7,7,8677.312,16269.96,802483.012084,0.0
58,3,3,8748.904,16404.195,812677.478118,0.0
59,4,4,8929.16,16742.175,826782.042674,0.0
60,6,6,9200.968,17251.815,845911.119934,0.0
61,1,1,9226.168,17299.065,847695.040505,0.0
62,1,1,9310.936,17458.005,849626.289837,0.0
63,3,3,9503.952,17819.91,858148.894628,0.0
64,3,3,9607.344,18013.77,868286.883352,0.0
65,5,5,9782.624,18342.42,885937.408988,0.0
66,5,5,10000.856,18751.605,902178.961752,0.0
67,5,5,10270.12,19256.475,912922.597055,0.0
68,6,6,10435.752,19567.035,934469.906047,0.0
69,3,3,10496.816,19681.53,943059.189611,0.0
70,1,1,10503.472,19694.01,946105.439321,0.0
71,6,6,10648.096,19965.18,966622.377446,0.0
72,0,0,10648.096,19965.18,966622.377446,0.0
73,3,3,10687.224,20038.545,975332.63195,0.0
74,2,2,10720.648,20101.215,980891.498332,0.0
75,5,5,10941.288,20514.915,997007.796718,0.0
76,2,2,10998.264,20621.745,1004720.56416,0.0
77,5,5,11160.488,20925.915,1017743.789486,0.0
78,1,1,11187.672,20976.885,1020680.570383,0.0
79,2,2,11336.072,21255.135,1026397.583793,0.0
80,1,1,11370.392,21319.485,1029762.000333,0.0
81,4,4,11478.4,21522.0,1042965.053321,0.0
82,6,6,11617.6,21783.0,1061792.695222,0.0
83,3,3,11735.912,22004.835,1068523.376892,0.0
84,6,6,11917.384,22345.095,1084177.074081,0.0
85,10,10,12166.328,22811.865,1117460.388838,0.0
86,0,0,12166.328,22811.865,1117460.388838,0.0
87,4,4,12236.64,22943.7,1129796.976396,0.0
88,3,3,12291.256,23046.105,1138277.021268,0.0
89,2,2,12309.672,23080.635,1143500.38484,0.0
90,0,0,12309.672,23080.635,1143500.38484,0.0
91,4,4,12426.328,23299.365,1153537.789043,0.0
92,6,6,12628.608,23678.64,1172063.714091,0.0
93,3,3,12762.016,23928.78,1181555.317979,0.0
94,2,2,12809.616,24018.03,1187814.759313,0.0
95,1,1,12843.36,24081.3,1190009.671546,0.0
96,3,3,12900.616,24188.655,1197413.861755,0.0
97,3,3,13045.496,24460.305,1203952.805891,0.0
98,4,4,13119.528,24599.115,1214992.3818,0.0
99,1,1,13149.432,24655.185,1218044.922333,0.0
