step,price,openInterest,tvl,marginVaultDelta,insuranceBalance,insuranceBalanceDelta,protocolTreasuryBalance,protocolTreasuryDelta,badDebt,badDebtDelta,protocolRevenue,protocolRevenueDelta,sumAccountCollateral,accountCollateralDelta,sumReservedMargin,reservedMarginDelta,sumAvailableCollateral,availableCollateralDelta,sumTraderFundingOwed,traderFundingOwedDelta,solvencyBuffer,makerFeesCollected,takerFeesCollected,fundingFeesTransferred,insuranceFundInflow,insuranceFundOutflow,liquidationInsuranceInflow,liquidations,liquidatorOrders,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
0,2003.84,15034.0,84988.7245,0.0,0.0,0.0,11.2755,0.0,0.0,0.0,11.2755,0.0,84988.7245,0.0,1503.4,0.0,83485.3245,0.0,0.0,0.0,0.0,3.7585,7.517,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,3,5,0,6,6,0,0.000,11.83,1.000,19.19,11.00,7.00,0
1,2002.29,24417.0,84863.2945,-125.43,52.619,52.619,23.9505,12.675,0.0,0.0,23.9505,12.675,84857.483928,-131.240572,2441.7,938.3,82415.783928,-1069.540572,0.0,0.0,5.810572,7.9835,15.967,0.0,52.619,0.0,52.619,3,3,60.136,112.755,14849.853569,0,2,7,0,6,4,2,50.000,10.71,0.529,7.73,4.00,3.00,0
2,2002.16,94221.0,84677.854,-185.4405,111.769,59.15,82.641,58.6905,0.0,0.0,82.641,58.6905,84671.509572,-185.974356,9422.1,6980.4,75249.409572,-7166.374356,0.0,0.0,6.344428,27.547,55.094,0.0,111.769,0.0,111.769,2,2,127.736,239.505,24700.218713,0,3,10,0,6,6,0,33.333,9.73,0.710,0.63,0.00,0.00,0
3,2004.71,48915.0,83844.103,-833.751,497.427,385.658,89.982,7.341,0.0,0.0,89.982,7.341,83774.521106,-896.988466,4891.5,-4530.6,78883.021106,3633.611534,0.0,0.0,69.581894,29.994,59.988,0.0,497.427,0.0,497.427,8,8,568.488,1065.915,63708.775519,0,2,7,0,6,4,2,133.333,8.54,8.995,12.72,7.00,5.00,0
4,2004.78,114139.0,83718.1045,-125.9985,531.685,34.258,142.5705,52.5885,0.0,0.0,142.5705,52.5885,83648.338037,-126.183069,11413.9,6522.4,72234.438037,-6648.583069,0.0,0.0,69.766463,47.5235,95.047,0.0,531.685,0.0,531.685,2,2,607.64,1139.325,73576.125106,0,3,8,0,6,6,0,33.333,8.20,2.256,0.38,0.00,0.00,0
5,2003.56,78372.0,83115.67,-602.4345,811.356,279.671,145.71,3.1395,0.0,0.0,145.71,3.1395,83021.71217,-626.625867,7837.2,-3576.7,75184.51217,2950.074133,0.0,0.0,93.95783,48.57,97.14,0.0,811.356,0.0,811.356,5,5,927.264,1738.62,97540.572113,0,1,7,0,6,2,4,83.333,7.95,1.109,6.10,3.00,2.00,0
6,2000.15,42712.0,82493.2,-622.47,1099.896,288.54,149.88,4.17,0.0,0.0,149.88,4.17,82356.250349,-665.461821,4271.2,-3566.0,78085.050349,2900.538179,0.0,0.0,136.949651,49.96,99.92,0.0,1099.896,0.0,1099.896,4,4,1257.024,2356.92,116454.75288,0,2,6,0,6,4,2,66.667,8.22,0.070,17.05,10.00,6.00,0
7,2002.28,44036.0,82448.422,-44.778,1119.356,19.46,152.958,3.078,0.0,0.0,152.958,3.078,82308.510022,-47.740327,4403.6,132.4,77904.910022,-180.140327,0.0,0.0,139.911978,50.986,101.972,0.0,1119.356,0.0,1119.356,2,2,1279.264,2398.62,126064.764073,0,2,8,0,6,4,2,33.333,8.42,0.123,10.66,6.00,4.00,0
8,2006.26,12340.0,81854.731,-593.691,1393.784,274.428,158.589,5.631,0.0,0.0,158.589,5.631,81682.196624,-626.313398,1234.0,-3169.6,80448.196624,2543.286602,0.0,0.0,172.534376,52.863,105.726,0.0,1393.784,0.0,1393.784,6,6,1592.896,2986.68,154791.423774,0,2,7,0,6,4,2,100.000,8.02,2.287,19.87,11.00,7.00,0
9,2008.86,64142.0,81756.754,-97.977,1420.062,26.278,200.256,41.667,0.0,0.0,200.256,41.667,81579.339088,-102.857536,6414.2,5180.2,75165.139088,-5283.057536,0.0,0.0,177.414912,66.752,133.504,0.0,1420.062,0.0,1420.062,2,2,1622.928,3042.99,164303.902608,0,3,9,0,6,6,0,33.333,7.83,1.309,13.00,7.00,5.00,0
