step,liquidatorOrders,liquidations,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,insuranceFundOutflow
0,0,0,0.0,0.0,0.0,0.0
1,3,3,60.136,112.755,14849.853569,0.0
2,2,2,127.736,239.505,24700.218713,0.0
3,8,8,568.488,1065.915,63708.775519,0.0
4,2,2,607.64,1139.325,73576.125106,0.0
5,5,5,927.264,1738.62,97540.572113,0.0
6,4,4,1257.024,2356.92,116454.75288,0.0
7,2,2,1279.264,2398.62,126064.764073,0.0
8,6,6,1592.896,2986.68,154791.423774,0.0
9,2,2,1622.928,3042.99,164303.902608,0.0
10,3,3,1845.152,3459.66,177436.606698,0.0
11,5,5,2111.664,3959.37,200200.527845,0.0
12,3,3,2271.024,4258.17,214058.507876,0.0
13,3,3,2341.856,4390.98,228467.675818,0.0
14,2,2,2368.568,4441.065,237631.538349,0.0
15,5,5,2696.664,5056.245,260491.81898,0.0
16,2,2,2717.496,5095.305,269804.437003,0.0
17,2,2,2759.344,5173.77,279185.122886,0.0
18,4,4,2822.024,5291.295,298528.397453,0.0
19,5,5,3177.784,5958.345,320190.523852,0.0
20,3,3,3419.408,6411.39,331953.16591,0.0
21,2,2,3573.112,6699.585,339256.484276,0.0
22,2,2,3845.0,7209.375,348287.547943,0.0
23,0,0,3845.0,7209.375,348287.547943,0.0
24,2,2,3993.872,7488.51,355888.776961,0.0
25,4,4,4311.744,8084.52,374581.815766,0.0
26,2,2,4383.984,8219.97,384018.195111,0.0
27,7,7,4939.008,9260.64,413364.183753,0.0
28,0,0,4939.008,9260.64,413364.183753,0.0
29,2,2,5141.408,9640.14,421651.676626,0.0
30,4,4,5314.352,9964.41,438087.447027,0.0
31,5,5,5432.032,10185.06,460673.795486,0.0
32,2,2,5605.24,10509.825,468800.04059,0.0
33,2,2,5652.088,10597.665,477644.693945,0.0
34,2,2,5704.336,10695.63,486950.951566,0.0
35,1,1,5717.072,10719.51,491706.336174,0.0
36,6,6,6072.44,11385.825,515764.091566,0.0
37,1,1,6084.816,11409.03,520495.980346,0.0
38,2,2,6159.184,11548.47,529775.587693,0.0
39,5,5,6544.072,12270.135,550238.110344,0.0
40,3,3,6819.328,12786.24,563206.243848,0.0
41,1,1,6839.952,12824.91,567253.038509,0.0
42,6,6,7227.488,13551.54,590005.195942,0.0
43,4,4,7379.792,13837.11,606981.591057,0.0
44,2,2,7404.88,13884.15,615848.603886,0.0
45,4,4,7558.232,14171.685,633033.088175,0.0
46,3,3,7621.088,14289.54,643467.433686,0.0
47,6,6,7994.752,14990.16,667785.438764,0.0
48,0,0,7994.752,14990.16,667785.438764,0.0
