step,liquidatorOrders,liquidations,liquidatedPositionNotional,stepLiquidatorRewardsPaid,stepLiquidationPenaltyCollected,stepMarginReturnedFromLiquidation,stepInsuranceFundOutflow,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,insuranceFundOutflow
71,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
72,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
73,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
74,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
75,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
76,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
77,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
78,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
79,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
80,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
81,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
82,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
83,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
84,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
85,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
86,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
87,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
88,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
89,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
90,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
91,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
92,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
93,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
94,6,6,20703.0,122.592,229.86,0.0,449.277328,596.8,1119.0,0.0,673.088618
95,5,5,49522.0,367.96,689.925,0.0,305.248985,964.76,1808.925,0.0,978.337603
96,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
97,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
98,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
99,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
100,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
101,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
102,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
103,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
104,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
105,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
106,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
107,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
108,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
109,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
110,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
111,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
112,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
113,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
114,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
115,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
116,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
117,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
118,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
119,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
120,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
121,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
122,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
123,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
124,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
125,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
126,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
127,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
128,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
129,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
130,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
131,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
132,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
133,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
134,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
135,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
136,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
137,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
138,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
139,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
140,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
141,0,0,0.0,0.0,0.0,0.0,0.0,964.76,1808.925,0.0,978.337603
142,4,4,11048.0,49.184,92.22,0.0,398.823842,1013.944,1901.145,0.0,1377.161445
143,1,1,2451.0,19.608,36.765,0.0,0.0,1033.552,1937.91,0.0,1377.161445
144,0,0,0.0,0.0,0.0,0.0,0.0,1033.552,1937.91,0.0,1377.161445
145,1,1,999.0,0.0,0.0,0.0,80.135363,1033.552,1937.91,0.0,1457.296808
146,0,0,0.0,0.0,0.0,0.0,0.0,1033.552,1937.91,0.0,1457.296808
147,7,7,35001.0,32.776,61.455,0.0,2536.691213,1066.328,1999.365,0.0,3993.988021
148,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
149,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
150,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
151,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
152,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
153,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
154,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
155,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
156,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
157,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
158,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
159,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
160,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
161,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
162,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
163,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
164,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
165,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
166,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
167,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
168,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
169,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
170,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
171,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
172,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
173,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
174,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
175,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
176,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
177,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
178,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
179,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
180,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
181,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
182,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
183,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
184,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
185,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
186,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
187,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
188,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
189,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
190,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
191,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
192,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
193,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
194,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
195,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
196,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
197,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
198,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
199,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
200,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
201,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
202,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
203,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
204,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
205,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
206,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
207,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
