step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,liquidations,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
174,2048.10,1773270.791167,399997.543078,999982.974646,0.0,0.255377,5,41,21,16,72,30,21,1,16.667,14.01,1.143,6.13,4.32,3.76,0
175,2048.91,1767951.018322,399997.385332,999982.858056,0.0,0.256528,5,39,20,12,71,27,19,1,18.519,14.25,1.143,7.17,6.09,4.32,0
176,2045.93,1762647.200341,399997.491172,999982.739731,0.0,0.257652,6,44,21,15,70,28,20,1,21.429,14.38,1.143,7.41,6.26,3.23,0
177,2048.00,1757359.297113,399997.471976,999982.643056,0.0,0.258787,5,38,20,14,70,25,18,0,20.000,14.19,1.143,6.15,6.23,2.91,0
178,2045.32,1752087.249559,399997.360365,999982.471173,0.0,0.259957,5,42,21,15,72,36,26,1,13.889,14.27,1.143,7.43,6.24,3.18,0
179,2042.60,1746831.012594,399997.333419,999982.352418,0.0,0.261065,5,39,21,14,72,30,21,1,16.667,14.35,1.143,7.95,5.43,4.56,0
180,2043.10,1741590.551333,399997.115796,999982.147967,0.0,0.262219,6,39,20,16,70,20,14,0,30.000,14.58,1.143,7.63,4.92,4.06,0
181,2039.37,1736365.809163,399997.071876,999982.082711,0.0,0.263367,6,43,21,12,70,28,20,1,21.429,14.70,1.143,7.42,4.53,3.61,0
182,2040.63,1731156.743247,399997.109183,999982.031659,0.0,0.26445,6,38,20,13,71,31,22,1,19.355,14.66,1.143,7.84,6.12,4.19,0
183,2038.81,1725963.305668,399997.022373,999981.933026,0.0,0.265563,4,42,20,13,70,29,21,1,13.793,14.40,1.143,7.21,6.85,3.03,0
184,2042.41,1720785.454438,399997.122628,999981.828632,0.0,0.266671,5,45,21,14,70,27,19,1,18.519,14.54,1.143,8.09,5.85,3.86,0
185,2046.33,1715623.12654,399996.949924,999981.766124,0.0,0.26778,5,41,21,15,70,23,16,0,21.739,14.35,1.143,7.96,4.37,2.73,0
186,2049.99,1710476.299833,399996.977119,999981.650051,0.0,0.268929,5,44,21,17,69,21,15,0,23.810,14.61,1.143,7.98,7.22,4.35,0
187,2049.28,1705344.89266,399996.981241,999981.575504,0.0,0.26999,6,40,20,15,69,23,16,0,26.087,14.32,1.143,7.46,5.38,3.18,0
188,2051.68,1700228.897391,399996.905212,999981.446867,0.0,0.27113,6,42,21,15,70,33,24,1,18.182,14.28,1.143,7.96,7.29,3.50,0
189,2052.74,1695128.24709,399996.805745,999981.32936,0.0,0.272208,6,40,20,15,72,34,24,1,17.647,14.49,1.143,6.27,4.29,4.44,0
190,2051.72,1690042.881204,399996.793879,999981.25687,0.0,0.27327,5,43,20,17,72,32,23,1,15.625,14.28,1.143,6.28,5.94,3.37,0
191,2048.82,1684972.78525,399996.848354,999981.149647,0.0,0.274365,6,43,21,16,72,33,24,1,18.182,14.40,1.143,7.35,6.65,3.76,0
192,2045.88,1679917.901376,399996.621702,999980.986885,0.0,0.275482,6,45,21,11,73,36,26,1,16.667,14.60,1.143,7.38,5.65,4.71,0
193,2047.76,1674878.182053,399996.62001,999980.906949,0.0,0.276596,4,39,20,16,73,30,21,1,13.333,14.61,1.143,5.98,5.41,2.78,0
194,2044.91,1669853.575196,399996.670001,999980.825021,0.0,0.277669,6,40,21,12,73,32,23,1,18.750,14.63,1.143,7.22,6.16,3.09,0
195,2041.42,1664844.05434,399996.694708,999980.736773,0.0,0.278764,6,44,21,13,72,23,16,0,26.087,14.40,1.143,7.81,6.89,4.44,0
196,2040.88,1659849.556211,399996.666125,999980.686758,0.0,0.279814,5,38,20,14,70,22,16,0,22.727,14.20,1.143,7.62,7.06,4.45,0
197,2041.28,1654870.039879,399996.512221,999980.59355,0.0,0.28086,6,38,20,12,69,21,15,0,28.571,14.00,1.143,6.29,5.59,3.24,0
198,2037.31,1649905.466711,399996.611228,999980.477106,0.0,0.281923,5,44,21,12,68,21,15,0,23.810,14.34,1.143,6.76,5.30,3.65,0
199,2038.65,1644955.774419,399996.542284,999980.369339,0.0,0.282965,6,40,20,15,70,34,24,1,17.647,14.50,1.143,7.81,4.60,3.33,0
