step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,liquidations,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
39,2011.54,2660282.764427,400002.951729,999996.227263,0.0,0.069662,6,40,21,12,72,32,23,1,18.750,14.64,1.143,7.86,4.58,3.15,0
40,2012.32,2652301.940244,400003.033647,999996.176639,0.0,0.071291,5,38,20,12,70,20,14,0,25.000,14.41,1.143,7.28,6.75,3.26,0
41,2013.95,2644345.082481,400002.901455,999996.051378,0.0,0.072961,5,43,20,12,72,34,24,1,14.706,14.50,1.143,7.41,5.79,3.27,0
42,2017.47,2636412.075604,400002.853447,999995.937883,0.0,0.074627,6,39,21,16,72,32,23,1,18.750,14.67,1.143,7.09,4.47,3.27,0
43,2013.73,2628502.873862,400002.75291,999995.740342,0.0,0.076301,6,39,21,14,71,29,21,1,20.690,14.74,1.143,7.06,5.68,4.35,0
44,2014.25,2620617.388432,400002.776904,999995.621428,0.0,0.077912,6,39,20,12,71,31,22,1,19.355,14.40,1.143,6.93,6.57,3.47,0
45,2017.49,2612755.576973,400002.617917,999995.559875,0.0,0.079535,6,42,21,12,72,35,25,1,17.143,14.56,1.143,7.02,4.92,2.86,0
46,2018.20,2604917.360714,400002.535618,999995.370409,0.0,0.081167,6,43,20,13,73,34,24,1,17.647,14.68,1.143,7.09,6.72,3.56,0
47,2020.96,2597102.62653,400002.511123,999995.297922,0.0,0.082757,6,44,21,14,73,32,23,1,18.750,14.80,1.143,6.11,6.38,3.28,0
48,2020.65,2589311.35787,400002.577488,999995.194809,0.0,0.08435,4,39,20,15,73,31,22,1,12.903,14.89,1.143,7.49,4.43,4.30,0
49,2018.72,2581543.458286,400002.58994,999995.075695,0.0,0.085936,6,39,20,11,73,31,22,1,19.355,14.62,1.143,7.41,4.70,4.09,0
50,2016.81,2573798.855629,400002.474094,999994.972355,0.0,0.087501,5,38,20,15,71,22,16,0,22.727,14.36,1.143,6.95,4.88,3.38,0
51,2016.95,2566077.485831,400002.535024,999994.900346,0.0,0.089063,6,41,20,15,70,25,18,0,24.000,14.52,1.143,7.81,5.51,3.52,0
52,2018.71,2558379.275905,400002.500366,999994.855106,0.0,0.090613,6,45,20,14,71,30,21,1,20.000,14.50,1.143,6.64,6.35,2.76,0
53,2017.14,2550704.169037,400002.391045,999994.807557,0.0,0.092166,6,45,20,17,70,24,17,0,25.000,14.70,1.143,7.49,6.42,3.92,0
54,2013.87,2543052.090823,400002.388449,999994.690108,0.0,0.093763,5,38,21,14,70,28,20,1,17.857,14.46,1.143,7.25,5.57,4.00,0
55,2016.74,2535422.964324,400002.292453,999994.57415,0.0,0.095367,5,38,21,15,71,31,22,1,16.129,14.54,1.143,6.02,7.20,2.87,0
56,2016.21,2527816.7455,400002.174682,999994.368168,0.0,0.09696,6,40,20,16,70,29,21,1,20.690,14.59,1.143,7.78,6.32,3.08,0
57,2019.38,2520233.334306,400002.081591,999994.214354,0.0,0.098542,5,41,21,16,71,33,24,1,15.152,14.75,1.143,6.34,6.00,3.35,0
58,2016.52,2512672.656425,400002.01854,999994.099899,0.0,0.100083,6,45,21,15,70,29,21,1,20.690,14.48,1.143,6.99,6.75,3.55,0
59,2012.59,2505134.662128,400002.013142,999993.97794,0.0,0.101649,6,42,21,15,72,34,24,1,17.647,14.65,1.143,7.84,6.33,4.30,0
60,2010.06,2497619.293239,400002.116998,999993.923363,0.0,0.103178,6,39,21,15,70,22,16,0,27.273,14.47,1.143,6.08,4.81,3.69,0
61,2012.13,2490126.465245,400001.975505,999993.852448,0.0,0.104708,5,37,20,17,72,34,24,1,14.706,14.22,1.143,6.73,6.86,4.07,0
62,2011.54,2482656.127128,400002.027443,999993.80691,0.0,0.106284,4,38,20,15,70,22,16,0,18.182,14.32,1.143,6.85,6.55,3.06,0
63,2013.40,2475208.17882,400001.855281,999993.693025,0.0,0.107783,6,38,20,15,71,31,22,1,19.355,14.35,1.143,6.24,7.17,4.21,0
64,2012.83,2467782.606136,400001.805655,999993.591604,0.0,0.109346,5,40,20,13,72,35,25,1,14.286,14.13,1.143,7.64,7.03,3.22,0
65,2009.45,2460379.296636,400001.874233,999993.491437,0.0,0.110875,4,38,21,16,70,22,16,0,18.182,14.11,1.143,7.92,5.14,4.42,0
66,2008.36,2452998.200201,400001.808134,999993.414307,0.0,0.112436,6,42,20,11,69,21,15,0,28.571,14.14,1.143,6.46,7.06,4.22,0
67,2012.19,2445639.245721,400001.763139,999993.281454,0.0,0.113985,5,43,21,14,70,32,23,1,15.625,14.18,1.143,6.26,5.05,3.36,0
68,2016.01,2438302.354636,400001.70178,999993.13222,0.0,0.115506,6,41,21,15,71,32,23,1,18.750,14.27,1.143,6.61,5.54,4.18,0
69,2018.17,2430987.468427,400001.68211,999993.085437,0.0,0.116991,4,39,21,13,69,22,16,0,18.182,14.21,1.143,7.82,4.40,3.96,0
70,2016.55,2423694.550971,400001.650591,999992.957768,0.0,0.118511,6,41,20,16,68,22,16,0,27.273,14.47,1.143,7.00,5.97,2.91,0
71,2012.53,2416423.508367,400001.617338,999992.796329,0.0,0.120017,7,44,21,12,70,35,25,1,20.000,14.34,1.143,6.70,6.49,3.31,0
