step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,liquidations,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
39,2011.54,2660283.421169,400001.512806,999992.689535,0.0,0.072254,8,47,27,15,90,41,29,1,19.512,17.14,1.143,8.03,4.80,3.34,0
40,2012.32,2652302.607071,400001.575777,999992.589201,0.0,0.07394,7,45,25,16,88,25,18,0,28.000,16.91,1.143,7.45,6.96,3.45,0
41,2013.95,2644345.77422,400001.384887,999992.341948,0.0,0.0757,7,49,26,15,90,44,32,1,15.909,17.00,1.143,7.56,5.97,3.43,0
42,2017.47,2636412.779048,400001.297639,999992.128936,0.0,0.077444,8,46,26,20,91,40,29,1,20.000,17.17,1.143,7.26,4.69,3.46,0
43,2013.73,2628503.593915,400001.124812,999991.758791,0.0,0.079211,8,45,27,17,91,38,27,1,21.053,17.24,1.143,7.20,5.86,4.51,0
44,2014.25,2620618.117921,400001.117083,999991.535014,0.0,0.080879,8,46,25,15,91,39,28,1,20.513,16.90,1.143,7.10,6.78,3.65,0
45,2017.49,2612756.324046,400000.93334,999991.419141,0.0,0.082566,8,48,26,15,92,44,32,1,18.182,17.06,1.143,7.16,5.10,3.02,0
46,2018.20,2604918.130783,400000.779588,999991.063915,0.0,0.08427,8,50,25,16,93,43,31,1,18.605,17.18,1.143,7.26,6.93,3.75,0
47,2020.96,2597103.402983,400000.738972,999990.927873,0.0,0.085912,8,51,26,17,93,39,28,1,20.513,17.30,1.143,6.28,6.60,3.47,0
48,2020.65,2589312.151604,400000.756021,999990.710515,0.0,0.087563,6,45,25,19,93,38,27,1,15.789,17.39,1.143,7.64,4.62,4.46,0
49,2018.72,2581544.268953,400000.726729,999990.486874,0.0,0.089212,8,45,26,14,93,40,29,1,20.000,17.12,1.143,7.55,4.89,4.25,0
50,2016.81,2573799.679386,400000.574074,999990.282518,0.0,0.090831,7,45,26,18,90,29,21,1,24.138,16.86,1.143,7.11,5.09,3.57,0
51,2016.95,2566078.320502,400000.615779,999990.164013,0.0,0.092441,7,47,25,18,89,32,23,1,21.875,17.02,1.143,7.95,5.70,3.68,0
52,2018.71,2558380.120691,400000.566558,999990.078693,0.0,0.094041,8,52,26,18,90,39,28,1,20.513,17.00,1.143,6.81,6.57,2.95,0
53,2017.14,2550705.026769,400000.438144,999989.989215,0.0,0.095641,8,52,25,21,89,30,21,1,26.667,17.20,1.143,7.65,6.63,4.11,0
54,2013.87,2543052.96264,400000.37771,999989.757278,0.0,0.097309,7,44,26,17,89,34,24,1,20.588,16.96,1.143,7.40,5.75,4.16,0
55,2016.74,2535423.847986,400000.232904,999989.528448,0.0,0.098989,7,44,26,19,90,38,27,1,18.421,17.04,1.143,6.16,7.39,3.03,0
56,2016.21,2527817.651545,400000.061685,999989.190332,0.0,0.100656,7,46,25,20,90,36,26,1,19.444,17.09,1.143,7.92,6.51,3.24,0
57,2019.38,2520234.256597,399999.911927,999988.887622,0.0,0.102308,7,47,26,20,92,41,29,1,17.073,17.25,1.143,6.48,6.19,3.52,0
58,2016.52,2512673.586694,399999.818207,999988.672427,0.0,0.1039,8,52,26,19,91,37,27,1,21.622,16.98,1.143,7.16,6.97,3.74,0
59,2012.59,2505135.602457,399999.761165,999988.443533,0.0,0.105539,8,49,27,19,92,44,32,1,18.182,17.15,1.143,8.01,6.55,4.49,0
60,2010.06,2497620.247795,399999.859693,999988.353603,0.0,0.107118,7,45,26,19,89,28,20,1,25.000,16.97,1.143,6.22,5.00,3.85,0
61,2012.13,2490127.433674,399999.68671,999988.213026,0.0,0.108709,7,43,26,21,92,45,32,1,15.556,16.72,1.143,6.88,7.05,4.23,0
62,2011.54,2482657.113292,399999.701974,999988.116164,0.0,0.110364,6,44,25,19,89,28,20,1,21.429,16.82,1.143,6.99,6.73,3.22,0
63,2013.40,2475209.173268,399999.522758,999987.928631,0.0,0.111911,7,44,26,19,90,40,29,1,17.500,16.85,1.143,6.38,7.35,4.37,0
64,2012.83,2467783.623529,399999.411099,999987.72759,0.0,0.11355,7,46,25,16,92,44,32,1,15.909,16.63,1.143,7.78,7.22,3.38,0
65,2009.45,2460380.32959,399999.445284,999987.514756,0.0,0.11514,6,44,26,20,89,27,19,1,22.222,16.61,1.143,8.06,5.32,4.58,0
66,2008.36,2452999.250784,399999.337425,999987.369082,0.0,0.116781,8,49,25,14,87,26,18,1,30.769,16.64,1.143,6.63,7.27,4.41,0
67,2012.19,2445640.314933,399999.244506,999987.106025,0.0,0.118412,7,49,27,17,89,41,29,1,17.073,16.68,1.143,6.41,5.23,3.52,0
68,2016.01,2438303.435109,399999.13748,999986.824968,0.0,0.120002,8,48,27,19,91,41,29,1,19.512,16.77,1.143,6.78,5.75,4.37,0
69,2018.17,2430988.555788,399999.106306,999986.725374,0.0,0.121534,6,45,26,16,88,27,19,1,22.222,16.71,1.143,7.96,4.59,4.13,0
