step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,liquidations,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
172,2042.51,1783960.686784,399991.344997,999967.455348,0.0,0.264364,7,48,26,15,91,43,31,1,16.279,16.91,1.143,7.62,6.91,3.01,0
173,2045.62,1778608.859395,399991.31555,999967.384118,0.0,0.265532,6,45,26,18,91,40,29,1,15.000,16.67,1.143,7.16,6.59,3.91,0
174,2048.10,1773273.073032,399991.104973,999967.225486,0.0,0.266788,7,47,26,20,90,37,27,1,18.919,16.51,1.143,6.28,4.51,3.92,0
175,2048.91,1767953.313107,399990.913876,999966.994883,0.0,0.26801,7,45,25,16,90,34,24,1,20.588,16.75,1.143,7.32,6.27,4.49,0
176,2045.93,1762649.505279,399991.004011,999966.772324,0.0,0.269191,8,50,26,19,90,35,25,1,22.857,16.88,1.143,7.56,6.45,3.39,0
177,2048.00,1757361.616626,399990.92838,999966.580928,0.0,0.2704,7,44,26,18,89,32,23,1,21.875,16.69,1.143,6.30,6.42,3.07,0
178,2045.32,1752089.57685,399990.72214,999966.241196,0.0,0.271652,7,49,26,19,92,45,32,1,15.556,16.77,1.143,7.60,6.45,3.37,0
179,2042.60,1746833.344943,399990.698997,999966.006566,0.0,0.272814,7,46,26,17,92,38,27,1,18.421,16.85,1.143,8.12,5.65,4.75,0
180,2043.10,1741592.892573,399990.359796,999965.62303,0.0,0.274047,8,46,25,20,89,26,19,0,30.769,17.08,1.143,7.79,5.13,4.25,0
181,2039.37,1736368.159386,399990.295471,999965.485184,0.0,0.275279,9,50,27,15,90,37,26,1,24.324,17.20,1.143,7.59,4.75,3.80,0
182,2040.63,1731159.102175,399990.364496,999965.389259,0.0,0.276409,8,45,25,16,91,39,28,1,20.513,17.16,1.143,8.01,6.34,4.38,0
183,2038.81,1725965.675804,399990.201954,999965.180485,0.0,0.277594,6,49,26,16,91,38,27,1,15.789,16.90,1.143,7.38,7.07,3.22,0
184,2042.41,1720787.836256,399990.268642,999964.974597,0.0,0.278763,7,51,26,18,90,34,24,1,20.588,17.04,1.143,8.24,6.04,4.02,0
185,2046.33,1715625.516665,399990.0677,999964.850939,0.0,0.279942,7,48,27,19,89,30,21,1,23.333,16.85,1.143,8.13,4.59,2.92,0
186,2049.99,1710478.705954,399990.010058,999964.622204,0.0,0.281184,7,50,27,21,87,28,20,1,25.000,17.11,1.143,8.12,7.40,4.51,0
187,2049.28,1705347.302426,399990.060884,999964.481797,0.0,0.282288,8,47,25,18,85,29,21,1,27.586,16.82,1.143,7.63,5.59,3.37,0
188,2051.68,1700231.319069,399989.867433,999964.239621,0.0,0.28351,8,49,26,19,87,41,29,1,19.512,16.78,1.143,8.13,7.50,3.69,0
189,2052.74,1695130.6797,399989.775315,999964.018867,0.0,0.284643,8,47,25,19,89,42,30,1,19.048,16.99,1.143,6.43,4.51,4.63,0
190,2051.72,1690045.315945,399989.747544,999963.875412,0.0,0.285753,7,50,25,21,90,40,29,1,17.500,16.78,1.143,6.45,6.16,3.56,0
191,2048.82,1684975.228565,399989.734312,999963.67376,0.0,0.286913,8,49,26,20,92,41,29,1,19.512,16.90,1.143,7.50,6.83,3.92,0
192,2045.88,1679920.35411,399989.42689,999963.368445,0.0,0.288106,8,51,26,14,94,45,32,1,17.778,17.10,1.143,7.52,5.83,4.87,0
193,2047.76,1674880.646683,399989.381798,999963.199542,0.0,0.289308,6,46,26,20,94,39,28,1,15.385,17.11,1.143,6.15,5.63,2.97,0
194,2044.91,1669856.045881,399989.445051,999963.045745,0.0,0.290439,8,46,26,15,94,40,29,1,20.000,17.13,1.143,7.36,6.35,3.25,0
195,2041.42,1664846.536978,399989.415185,999962.879722,0.0,0.291603,8,50,26,16,91,29,21,1,27.586,16.90,1.143,7.96,7.08,4.60,0
196,2040.88,1659852.048418,399989.400954,999962.78056,0.0,0.292704,7,45,25,18,88,28,20,1,25.000,16.70,1.143,7.79,7.28,4.64,0
197,2041.28,1654872.540779,399989.22417,999962.626544,0.0,0.2938,7,44,25,15,86,26,19,0,26.923,16.50,1.143,6.44,5.78,3.40,0
198,2037.31,1649907.980168,399989.262966,999962.396472,0.0,0.294928,7,50,27,15,84,27,19,1,25.926,16.84,1.143,6.90,5.49,3.81,0
199,2038.65,1644958.29239,399989.1781,999962.219375,0.0,0.296021,7,46,25,18,86,42,30,1,16.667,17.00,1.143,7.96,4.78,3.49,0
