step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,makerFeesCollected,takerFeesCollected,fundingFeesTransferred,insuranceFundInflow,insuranceFundOutflow,liquidationInsuranceInflow,liquidations,liquidatorOrders,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,marginPoolBalance,stepMarginPoolInflow,stepMarginPoolOutflow,marginPoolInflow,marginPoolOutflow,stepMakerFeesCollected,stepTakerFeesCollected,makerFeeBpsEffective,takerFeeBpsEffective,stepProtocolLiquidationIncome,protocolLiquidationIncome,stepInsuranceFundInflow,stepFundingFeesTransferred,liquidationRemainingMarginAvg,liquidationRemainingMarginMin,liquidationRemainingMarginMax,liquidationRemainingMarginPctAvg,liquidationRemainingMarginPctMin,liquidationRemainingMarginPctMax,isInsolvent
27,2126.84,426031.0,84525.792,19390.280041,0.0,366.078,122.026,244.052,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,2,17,0,6,4,2,0.000,18.01,1.341,70.66,42.00,28.00,64769.433959,0.0,8.0055,0.0,20219.290541,2.6685,5.337,5.0000,10.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
28,2139.72,426031.0,84525.792,19390.280041,0.0,366.078,122.026,244.052,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.341,60.54,36.00,24.00,64769.433959,0.0,0.0,0.0,20219.290541,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
29,2119.23,426031.0,84525.792,19390.280041,0.0,366.078,122.026,244.052,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.341,95.73,57.00,38.00,64769.433959,0.0,0.0,0.0,20219.290541,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
30,2108.00,426031.0,84525.792,19390.280041,0.0,366.078,122.026,244.052,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.341,52.99,31.00,21.00,64769.433959,0.0,0.0,0.0,20219.290541,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
31,2086.02,426031.0,84525.792,19390.280041,0.0,366.078,122.026,244.052,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.341,104.30,62.00,41.00,64769.433959,0.0,0.0,0.0,20219.290541,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
32,2092.49,426031.0,84525.792,19390.280041,0.0,366.078,122.026,244.052,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.341,31.01,18.00,12.00,64769.433959,0.0,0.0,0.0,20219.290541,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
33,2113.94,426031.0,84525.792,19390.280041,0.0,366.078,122.026,244.052,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.341,102.55,61.00,41.00,64769.433959,0.0,0.0,0.0,20219.290541,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
34,2106.22,426543.0,84525.792,19390.280041,0.0,366.462,122.154,244.308,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,1,17,0,6,2,4,0.000,11.58,1.341,36.53,21.00,14.00,64769.049959,0.0,0.384,0.0,20219.674541,0.128,0.256,5.0000,10.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
35,2091.66,426543.0,84525.792,19390.280041,0.0,366.462,122.154,244.308,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.341,69.12,41.00,27.00,64769.049959,0.0,0.0,0.0,20219.674541,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
36,2066.65,435591.0,84525.792,19390.280041,0.0,373.248,124.416,248.832,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,2,17,0,6,4,2,0.000,5.90,1.332,119.58,71.00,47.00,64762.263959,0.0,6.786,0.0,20226.460541,2.262,4.524,5.0000,10.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
