step,liquidatorOrders,liquidations,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,insuranceFundOutflow
0,0,0,0.0,0.0,0.0,0.0
1,2,2,29.432,55.185,9929.568428,0.0
2,2,2,86.856,162.855,19812.278573,0.0
3,5,5,190.952,358.035,44598.720921,0.0
4,3,3,574.64,1077.45,58839.607849,0.0
5,5,5,999.168,1873.44,82837.904269,0.0
6,1,1,1050.544,1969.77,87725.224786,0.0
7,3,3,1319.936,2474.88,102037.564761,0.0
8,2,2,1394.12,2613.975,111799.995133,0.0
9,1,1,1402.112,2628.96,116736.877901,0.0
10,2,2,1578.872,2960.385,125533.613665,0.0
11,2,2,1610.592,3019.86,135325.067499,0.0
12,0,0,1610.592,3019.86,135325.067499,0.0
13,3,3,1974.488,3702.165,149396.275378,0.0
14,2,2,2147.76,4027.05,158887.622979,0.0
15,2,2,2348.88,4404.15,168108.689531,0.0
16,0,0,2348.88,4404.15,168108.689531,0.0
17,3,3,2724.064,5107.62,182066.681929,0.0
18,4,4,2911.384,5458.845,200179.797032,0.0
19,2,2,3149.4,5905.125,208621.441984,0.0
20,1,1,3271.64,6134.325,213018.946708,0.0
21,2,2,3337.544,6257.895,222134.798311,0.0
22,2,2,3414.048,6401.34,230367.134709,0.0
23,2,2,3457.856,6483.48,239249.471844,0.0
24,2,2,3664.624,6871.17,247817.21119,0.0
25,1,1,3716.584,6968.595,252551.40457,0.0
26,3,3,4349.552,8155.41,264752.052447,0.0
27,1,1,4672.672,8761.26,268704.895442,0.0
28,2,2,4804.976,9009.33,277109.106341,0.0
29,3,3,4955.808,9292.14,289648.633899,0.0
30,3,3,5144.88,9646.65,302681.751432,0.0
31,1,1,5396.056,10117.605,307166.512216,0.0
32,1,1,5557.608,10420.515,310675.494948,0.0
33,5,5,5828.928,10929.24,332167.54141,0.0
34,0,0,5828.928,10929.24,332167.54141,0.0
35,4,4,6074.336,11389.38,349176.032217,0.0
36,2,2,6089.152,11417.16,357880.85847,0.0
37,0,0,6089.152,11417.16,357880.85847,0.0
38,3,3,6180.64,11588.7,370364.912507,0.0
39,3,3,6505.52,12197.85,383325.027047,0.0
40,2,2,7021.6,13165.5,389821.694772,0.0
41,1,1,7034.928,13190.49,394613.201324,0.0
42,2,2,7230.664,13557.495,402400.335496,0.0
43,0,0,7230.664,13557.495,402400.335496,0.0
44,0,0,7230.664,13557.495,402400.335496,0.0
45,2,2,7337.84,13758.45,411471.464606,0.0
46,0,0,7337.84,13758.45,411471.464606,0.0
47,1,1,7370.632,13819.935,415856.993166,0.0
48,3,3,7418.432,13909.56,428035.752455,0.0
49,0,0,7418.432,13909.56,428035.752455,0.0
50,1,1,7466.92,14000.475,431709.848832,0.0
51,2,2,7571.432,14196.435,439252.572378,0.0
52,2,2,7602.344,14254.395,448379.900727,0.0
53,1,1,7672.088,14385.165,451682.987546,0.0
54,3,3,8077.352,15145.035,462476.189266,0.0
55,1,1,8080.088,15150.165,466827.566746,0.0
56,1,1,8110.232,15206.685,471151.828428,0.0
57,3,3,8314.736,15590.13,483072.858761,0.0
58,0,0,8314.736,15590.13,483072.858761,0.0
59,2,2,8652.336,16223.13,490922.062267,0.0
60,1,1,8815.352,16528.785,494414.307365,0.0
61,1,1,8994.8,16865.25,497717.644025,0.0
62,1,1,9019.944,16912.395,502356.210543,0.0
63,3,3,9102.376,17066.955,513110.239813,0.0
64,0,0,9102.376,17066.955,513110.239813,0.0
65,5,5,9512.6,17836.125,531823.053907,0.0
66,1,1,9643.376,18081.33,535629.051542,0.0
67,2,2,9784.72,18346.35,543112.163492,0.0
68,2,2,10053.144,18849.645,549749.013349,0.0
69,2,2,10101.592,18940.485,558765.144713,0.0
70,1,1,10138.616,19009.905,562868.490797,0.0
71,4,4,10261.824,19240.92,579018.452615,0.0
72,1,1,10372.0,19447.5,581808.021472,0.0
73,3,3,10559.464,19798.995,591465.758433,0.0
74,2,2,10646.8,19962.75,599269.826914,0.0
75,4,4,10798.984,20248.095,613602.494731,0.0
76,1,1,10986.72,20600.1,617014.016853,0.0
77,3,3,11148.856,20904.105,627329.454834,0.0
78,1,1,11179.736,20962.005,631857.104728,0.0
79,1,1,11367.752,21314.535,634305.535197,0.0
80,2,2,11507.016,21575.655,641952.011315,0.0
81,3,3,11566.504,21687.195,652931.793304,0.0
82,2,2,11599.384,21748.845,661318.892601,0.0
83,1,1,11627.592,21801.735,664680.369396,0.0
84,3,3,11663.528,21869.115,677618.574082,0.0
85,0,0,11663.528,21869.115,677618.574082,0.0
86,1,1,12082.4,22654.5,681725.930673,0.0
87,2,2,12154.168,22789.065,687484.278139,0.0
88,1,1,12290.08,23043.9,690574.41156,0.0
89,3,3,12590.784,23607.72,700909.869916,0.0
90,2,2,12667.768,23752.065,709352.683455,0.0
91,0,0,12667.768,23752.065,709352.683455,0.0
92,3,3,13160.184,24675.345,719663.148811,0.0
93,1,1,13273.24,24887.325,723541.278428,0.0
94,0,0,13273.24,24887.325,723541.278428,0.0
95,1,1,13279.032,24898.185,727891.955904,0.0
96,1,1,13299.08,24935.775,731805.318153,0.0
97,0,0,13299.08,24935.775,731805.318153,0.0
98,2,2,13395.584,25116.72,738082.44721,0.0
99,0,0,13395.584,25116.72,738082.44721,0.0
100,2,2,13434.832,25190.31,746228.502445,0.0
101,0,0,13434.832,25190.31,746228.502445,0.0
102,1,1,13455.248,25228.59,748491.313556,0.0
103,2,2,13546.344,25399.395,755578.133961,0.0
104,1,1,13648.032,25590.06,758460.014819,0.0
105,0,0,13648.032,25590.06,758460.014819,0.0
106,2,2,13801.0,25876.875,764424.111622,0.0
107,2,2,13974.896,26202.93,770111.290802,0.0
108,3,3,14189.528,26605.365,778836.171879,0.0
109,0,0,14189.528,26605.365,778836.171879,0.0
110,3,3,14326.832,26862.81,787940.944048,0.0
111,1,1,14370.312,26944.335,792163.165429,0.0
112,1,1,14385.496,26972.805,796558.549729,0.0
113,2,2,14469.44,27130.2,802424.789496,0.0
114,0,0,14469.44,27130.2,802424.789496,0.0
115,1,1,14521.288,27227.415,806171.74523,0.0
116,4,4,14770.824,27695.295,815968.074061,0.0
117,1,1,14807.64,27764.325,819853.660538,0.0
118,1,1,14846.224,27836.67,823522.800897,0.0
119,0,0,14846.224,27836.67,823522.800897,0.0
120,2,2,14876.392,27893.235,831015.417432,0.0
121,0,0,14876.392,27893.235,831015.417432,0.0
122,2,2,15016.88,28156.65,839009.773018,0.0
123,2,2,15185.288,28472.415,844803.930293,0.0
124,2,2,15368.152,28815.285,852241.235413,0.0
125,4,4,15667.264,29376.12,865281.833737,0.0
126,0,0,15667.264,29376.12,865281.833737,0.0
127,3,3,15799.208,29623.515,876817.801278,0.0
128,3,3,16084.36,30158.175,887314.369007,0.0
129,2,2,16300.72,30563.85,893169.053051,0.0
130,2,2,16343.08,30643.275,899109.680065,0.0
131,3,3,16432.192,30810.36,909421.168775,0.0
132,2,2,16504.0,30945.0,917068.638769,0.0
133,1,1,16531.248,30996.09,920749.913478,0.0
134,2,2,16632.368,31185.69,925222.761392,0.0
135,4,4,16812.248,31522.965,933309.504189,0.0
136,3,3,16940.296,31763.055,943534.257865,0.0
137,0,0,16940.296,31763.055,943534.257865,0.0
138,1,1,16964.336,31808.13,945313.926227,0.0
139,1,1,16970.456,31819.605,949517.22949,0.0
140,0,0,16970.456,31819.605,949517.22949,0.0
141,1,1,17034.96,31940.55,952982.151412,0.0
142,1,1,17213.144,32274.645,955183.891638,0.0
143,1,1,17228.912,32304.21,957757.150205,0.0
144,0,0,17228.912,32304.21,957757.150205,0.0
145,2,2,17250.008,32343.765,963916.479775,0.0
146,0,0,17250.008,32343.765,963916.479775,0.0
147,1,1,17267.952,32377.41,967850.763637,0.0
148,0,0,17267.952,32377.41,967850.763637,0.0
149,0,0,17267.952,32377.41,967850.763637,0.0
150,5,5,17562.032,32928.81,981022.060458,0.0
151,1,1,17740.216,33262.905,983140.523564,0.0
152,2,2,17793.472,33362.76,988417.769024,0.0
153,2,2,17824.832,33421.56,994219.777828,0.0
154,2,2,17898.456,33559.605,999948.991755,0.0
155,5,5,18121.984,33978.72,1011796.112797,0.0
156,0,0,18121.984,33978.72,1011796.112797,0.0
157,3,3,18176.112,34080.21,1021546.902496,0.0
158,1,1,18211.192,34145.985,1023042.325279,0.0
159,0,0,18211.192,34145.985,1023042.325279,0.0
160,1,1,18257.752,34233.285,1024724.151073,0.0
161,2,2,18282.792,34280.235,1032254.803305,0.0
162,3,3,18416.792,34531.485,1038840.873486,0.0
163,0,0,18416.792,34531.485,1038840.873486,0.0
164,2,2,18552.24,34785.45,1044483.207504,0.0
165,1,1,18669.304,35004.945,1045888.446861,0.0
166,1,1,18702.216,35066.655,1049252.796012,0.0
167,1,1,18765.832,35185.935,1050621.048687,0.0
168,0,0,18765.832,35185.935,1050621.048687,0.0
169,7,7,18970.808,35570.265,1071091.184815,0.0
170,0,0,18970.808,35570.265,1071091.184815,0.0
171,2,2,19096.288,35805.54,1077342.609992,0.0
172,2,2,19151.392,35908.86,1081517.278993,0.0
173,0,0,19151.392,35908.86,1081517.278993,0.0
174,2,2,19172.92,35949.225,1086065.59427,0.0
175,2,2,19199.976,35999.955,1093421.71055,0.0
176,2,2,19356.768,36293.94,1098135.185408,0.0
177,2,2,19470.216,36506.655,1103220.442651,0.0
178,1,1,19563.08,36680.775,1106893.488321,0.0
179,2,2,19625.808,36798.39,1113806.394924,0.0
180,1,1,19698.216,36934.155,1117338.111333,0.0
181,3,3,19787.152,37100.91,1124587.750099,0.0
182,2,2,19829.328,37179.99,1131329.371874,0.0
183,2,2,19884.512,37283.46,1138277.816442,0.0
184,3,3,20001.208,37502.265,1143959.660661,0.0
185,2,2,20061.192,37614.735,1149102.46424,0.0
186,1,1,20062.296,37616.805,1152227.061195,0.0
187,0,0,20062.296,37616.805,1152227.061195,0.0
188,3,3,20216.576,37906.08,1161505.138238,0.0
189,1,1,20250.656,37969.98,1164701.278382,0.0
190,1,1,20279.136,38023.38,1166075.040505,0.0
191,6,6,20483.544,38406.645,1180203.290104,0.0
192,0,0,20483.544,38406.645,1180203.290104,0.0
193,2,2,20520.848,38476.59,1187425.612902,0.0
194,3,3,20600.344,38625.645,1195215.137645,0.0
195,1,1,20618.112,38658.96,1198589.806371,0.0
196,1,1,20635.712,38691.96,1200490.814566,0.0
197,1,1,20648.976,38716.83,1203839.461586,0.0
198,3,3,20880.224,39150.42,1209255.478043,0.0
199,0,0,20880.224,39150.42,1209255.478043,0.0
200,3,3,20921.824,39228.42,1217334.298955,0.0
201,0,0,20921.824,39228.42,1217334.298955,0.0
202,2,2,21000.12,39375.225,1222106.796242,0.0
203,0,0,21000.12,39375.225,1222106.796242,0.0
204,2,2,21201.68,39753.15,1226150.183989,0.0
205,3,3,21259.512,39861.585,1234251.670529,0.0
206,0,0,21259.512,39861.585,1234251.670529,0.0
207,1,1,21278.056,39896.355,1237459.423449,0.0
208,1,1,21282.848,39905.34,1240582.671971,0.0
209,2,2,21348.68,40028.775,1244251.7357,0.0
210,1,1,21365.168,40059.69,1247398.527203,0.0
211,0,0,21365.168,40059.69,1247398.527203,0.0
212,1,1,21372.944,40074.27,1250587.972503,0.0
213,1,1,21378.928,40085.49,1252101.19685,0.0
214,2,2,21441.688,40203.165,1258869.541589,0.0
215,1,1,21480.864,40276.62,1261939.101772,0.0
216,2,2,21551.84,40409.7,1266620.918671,0.0
217,0,0,21551.84,40409.7,1266620.918671,0.0
218,2,2,21590.36,40481.925,1272679.399654,0.0
219,1,1,21594.344,40489.395,1276384.893292,0.0
220,1,1,21602.216,40504.155,1280285.151184,0.0
221,0,0,21602.216,40504.155,1280285.151184,0.0
222,1,1,21609.08,40517.025,1281342.915807,0.0
223,2,2,21686.28,40661.775,1285522.052356,0.0
224,0,0,21686.28,40661.775,1285522.052356,0.0
225,4,4,22142.624,41517.42,1295967.749117,0.0
226,1,1,22183.08,41593.275,1297080.119148,0.0
227,2,2,22262.944,41743.02,1299918.187149,0.0
228,2,2,22456.808,42106.515,1303606.770666,0.0
229,1,1,22495.136,42178.38,1304815.105365,0.0
230,3,3,22560.296,42300.555,1315218.701404,0.0
231,0,0,22560.296,42300.555,1315218.701404,0.0
232,1,1,22654.848,42477.84,1316614.111626,0.0
233,1,1,22694.304,42551.82,1319536.46244,0.0
234,1,1,22732.44,42623.325,1323264.861766,0.0
235,0,0,22732.44,42623.325,1323264.861766,0.0
236,1,1,22760.888,42676.665,1324263.507421,0.0
237,3,3,22846.272,42836.76,1330704.130103,0.0
238,3,3,22887.848,42914.715,1336340.064352,0.0
239,1,1,22957.168,43044.69,1339826.030967,0.0
240,0,0,22957.168,43044.69,1339826.030967,0.0
241,1,1,22977.424,43082.67,1340898.976794,0.0
242,1,1,22978.928,43085.49,1341894.621305,0.0
243,2,2,23051.896,43222.305,1345622.170995,0.0
244,0,0,23051.896,43222.305,1345622.170995,0.0
245,3,3,23274.408,43639.515,1351809.158107,0.0
246,0,0,23274.408,43639.515,1351809.158107,0.0
247,2,2,23327.128,43738.365,1355851.574712,0.0
248,1,1,23397.272,43869.885,1357096.802001,0.0
249,1,1,23431.328,43933.74,1360513.882566,0.0
250,2,2,23547.992,44152.485,1363747.607611,0.0
251,1,1,23575.776,44204.58,1365728.130587,0.0
252,1,1,23602.376,44254.455,1368601.242325,0.0
253,3,3,23771.328,44571.24,1374212.708735,0.0
254,1,1,23839.256,44698.605,1377800.058013,0.0
255,1,1,23870.032,44756.31,1378981.774153,0.0
256,6,6,23989.312,44979.96,1394531.263019,0.0
257,0,0,23989.312,44979.96,1394531.263019,0.0
258,1,1,24052.608,45098.64,1395520.910645,0.0
259,2,2,24131.088,45245.79,1399366.780334,0.0
260,0,0,24131.088,45245.79,1399366.780334,0.0
261,2,2,24174.592,45327.36,1404030.21019,0.0
262,0,0,24174.592,45327.36,1404030.21019,0.0
263,2,2,24291.48,45546.525,1408794.30989,0.0
264,0,0,24291.48,45546.525,1408794.30989,0.0
265,3,3,24358.968,45673.065,1412484.399642,0.0
266,3,3,24475.064,45890.745,1421435.77248,0.0
267,4,4,24558.552,46047.285,1427657.431133,0.0
268,1,1,24597.512,46120.335,1428586.20867,0.0
269,3,3,24785.344,46472.52,1434432.376527,0.0
270,1,1,24893.016,46674.405,1437326.849575,0.0
271,0,0,24893.016,46674.405,1437326.849575,0.0
272,3,3,24970.424,46819.545,1443721.896935,0.0
273,2,2,25022.96,46918.05,1447941.034387,0.0
274,2,2,25076.016,47017.53,1453480.744947,0.0
275,4,4,25201.32,47252.475,1459170.038914,0.0
276,1,1,25235.696,47316.93,1461769.179512,0.0
277,3,3,25344.864,47521.62,1466333.923811,0.0
278,4,4,25473.392,47762.61,1472846.518156,0.0
