step,price,openInterest,tvl,marginVaultDelta,insuranceBalance,insuranceBalanceDelta,protocolTreasuryBalance,protocolTreasuryDelta,badDebt,badDebtDelta,protocolRevenue,protocolRevenueDelta,sumAccountCollateral,accountCollateralDelta,sumReservedMargin,reservedMarginDelta,sumAvailableCollateral,availableCollateralDelta,sumTraderFundingOwed,traderFundingOwedDelta,solvencyBuffer,makerFeesCollected,takerFeesCollected,fundingFeesTransferred,insuranceFundInflow,insuranceFundOutflow,liquidationInsuranceInflow,liquidations,liquidatorOrders,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
31,2014.32,148497.0,74882.395,-470.955,4721.549,219.779,0.0,0.0,0.0,0.0,787.0305,39.999,73980.400657,-471.997098,14849.7,129.5,59594.114105,-511.545426,0.0,0.0,114.963843,262.3435,524.687,0.0001,4721.549,0.0,4721.549,1,1,5396.056,10117.605,307166.512216,0,3,9,0,6,6,0,16.667,9.68,0.167,17.38,10.00,6.00,0
32,2015.36,172375.0,74579.485,-302.91,4862.907,141.358,0.0,0.0,0.0,0.0,823.569,36.5385,73639.497706,-340.902951,17237.5,2387.8,56812.36907,-2781.745035,0.0,0.0,116.418294,274.523,549.046,0.0001,4862.907,0.0,4862.907,1,1,5557.608,10420.515,310675.494948,0,3,13,0,6,6,0,16.667,9.84,0.336,5.17,3.00,2.00,0
33,2018.80,138460.0,74070.76,-508.725,5100.312,237.405,0.0,0.0,0.0,0.0,823.569,0.0,73074.301228,-565.196478,13846.0,-3391.5,59549.317714,2736.948644,0.0,0.0,172.889772,274.523,549.046,0.0001,5100.312,0.0,5100.312,5,5,5828.928,10929.24,332167.54141,0,0,8,0,6,0,6,83.333,9.84,0.455,17.09,10.00,6.00,0
34,2017.57,152580.0,74070.76,0.0,5100.312,0.0,0.0,0.0,0.0,0.0,844.275,20.706,73064.681782,-9.619446,15258.0,1412.0,58147.965599,-1401.352115,0.0,0.0,161.803218,281.425,562.85,0.0001,5100.312,0.0,5100.312,0,0,5828.928,10929.24,332167.54141,0,3,10,0,6,6,0,0.000,10.12,0.493,6.09,3.00,2.00,0
35,2015.25,115460.0,73610.62,-460.14,5315.044,214.732,0.0,0.0,0.0,0.0,882.561,38.286,72580.286587,-484.395195,11546.0,-3712.0,61421.0997,3273.134101,0.0,0.0,147.772413,294.187,588.374,0.000135,5315.044,0.0,5315.044,4,4,6074.336,11389.38,349176.032217,0,2,6,0,6,4,2,66.667,9.99,0.167,11.52,6.00,4.00,0
36,2011.23,108816.0,73582.84,-27.78,5328.008,12.964,0.0,0.0,0.0,0.0,904.5105,21.9495,72515.285813,-65.000774,10881.6,-664.4,62199.399168,778.299468,0.0,0.0,163.043687,301.5035,603.007,0.000135,5328.008,0.0,5328.008,2,2,6089.152,11417.16,357880.85847,0,1,4,0,6,2,4,33.333,9.90,0.127,19.93,11.00,7.00,0
37,2012.69,123648.0,73582.84,0.0,5328.008,0.0,0.0,0.0,0.0,0.0,917.499,12.9885,72502.297313,-12.9885,12364.8,1483.2,60642.485225,-1556.913943,0.0,0.0,163.043687,305.833,611.666,0.000135,5328.008,0.0,5328.008,0,0,6089.152,11417.16,357880.85847,0,3,9,0,6,6,0,0.000,9.85,0.189,7.25,4.00,2.00,0
38,2015.18,129888.0,73411.3,-171.54,5408.06,80.052,0.0,0.0,0.0,0.0,930.756,13.257,72308.331245,-193.966068,12988.8,624.0,59730.004737,-912.480488,0.0,0.0,172.212755,310.252,620.504,0.000135,5408.06,0.0,5408.06,3,3,6180.64,11588.7,370364.912507,0,2,9,0,6,4,2,50.000,9.85,0.281,12.37,7.00,4.00,0
39,2011.54,218298.0,72802.15,-609.15,5692.33,284.27,0.0,0.0,0.0,0.0,1034.238,103.482,71575.479484,-732.851761,21829.8,8841.0,50307.327137,-9422.6776,0.0,0.0,192.432516,344.746,689.492,0.000135,5692.33,0.0,5692.33,3,3,6505.52,12197.85,383325.027047,0,3,9,0,6,6,0,50.000,9.62,0.316,18.07,10.00,7.00,0
40,2012.32,157120.0,71834.5,-967.65,6143.9,451.57,0.0,0.0,0.0,0.0,1037.247,3.009,70579.725105,-995.754379,15712.0,-6117.8,55410.527161,5103.200024,0.0,0.0,217.527895,345.749,691.498,0.000135,6143.9,0.0,6143.9,2,2,7021.6,13165.5,389821.694772,0,2,10,0,6,4,2,33.333,9.61,0.525,3.89,2.00,1.00,0
41,2013.95,196238.0,71809.51,-24.99,6155.562,11.662,0.0,0.0,0.0,0.0,1067.835,30.588,70522.797474,-56.927631,19623.8,3911.8,51403.875012,-4006.652149,0.0,0.0,218.877526,355.945,711.89,0.000135,6155.562,0.0,6155.562,1,1,7034.928,13190.49,394613.201324,0,1,10,0,6,2,4,16.667,9.56,0.611,8.10,4.00,3.00,0
42,2017.47,171091.0,71442.505,-367.005,6326.831,171.269,0.0,0.0,0.0,0.0,1071.768,3.933,70111.700507,-411.096967,17109.1,-2514.7,53465.774837,2061.899825,0.0,0.0,259.036493,357.256,714.512,0.000135,6326.831,0.0,6326.831,2,2,7230.664,13557.495,402400.335496,0,2,8,0,6,4,2,33.333,9.75,0.764,17.48,10.00,6.00,0
43,2013.73,171091.0,71442.505,0.0,6326.831,0.0,0.0,0.0,0.0,0.0,1071.768,0.0,70111.700507,0.0,17109.1,0.0,53507.282416,41.507579,0.0,0.0,259.036493,357.256,714.512,0.000135,6326.831,0.0,6326.831,0,0,7230.664,13557.495,402400.335496,0,0,8,0,6,0,6,0.000,9.75,0.764,18.52,11.00,7.00,0
44,2014.25,183281.0,71442.505,0.0,6326.831,0.0,0.0,0.0,0.0,0.0,1081.152,9.384,70102.446604,-9.253903,18328.1,1219.0,52273.126085,-1234.156331,0.0,0.0,258.906396,360.384,720.768,0.000135,6326.831,0.0,6326.831,0,0,7230.664,13557.495,402400.335496,0,3,11,0,6,6,0,0.000,10.05,0.778,2.58,1.00,1.00,0
45,2017.49,169562.0,71241.55,-200.955,6420.61,93.779,0.0,0.0,0.0,0.0,1087.0725,5.9205,69893.107001,-209.339603,16956.2,-1371.9,53402.172464,1129.046379,0.0,0.0,261.370499,362.3575,724.715,0.000135,6420.61,0.0,6420.61,2,2,7337.84,13758.45,411471.464606,0,2,9,0,6,4,2,33.333,10.03,0.894,16.08,9.00,6.00,0
46,2018.20,180476.0,71241.55,0.0,6420.61,0.0,0.0,0.0,0.0,0.0,1095.789,8.7165,69885.424625,-7.682376,18047.6,1091.4,52298.887286,-1103.285178,0.0,0.0,260.336375,365.263,730.526,0.000135,6420.61,0.0,6420.61,0,0,7337.84,13758.45,411471.464606,0,2,11,0,6,4,2,0.000,9.99,0.900,3.50,2.00,1.00,0
47,2020.96,184801.0,71180.065,-61.485,6449.303,28.693,0.0,0.0,0.0,0.0,1106.7885,10.9995,69813.734202,-71.690423,18480.1,432.5,51781.573953,-517.313333,0.0,0.0,259.542298,368.9295,737.859,0.00014,6449.303,0.0,6449.303,1,1,7370.632,13819.935,415856.993166,0,3,14,0,6,6,0,16.667,9.83,0.943,13.68,8.00,5.00,0
48,2020.65,190502.0,71090.44,-89.625,6491.128,41.825,0.0,0.0,0.0,0.0,1121.2245,14.436,69714.671396,-99.062806,19050.2,570.1,51108.042849,-673.531104,0.0,0.0,254.544104,373.7415,747.483,0.00014,6491.128,0.0,6491.128,3,3,7418.432,13909.56,428035.752455,0,1,11,0,6,2,4,50.000,9.77,0.888,1.54,0.00,0.00,0
49,2018.72,199846.0,71090.44,0.0,6491.128,0.0,0.0,0.0,0.0,0.0,1128.2325,7.008,69707.663396,-7.008,19984.6,934.4,50177.061707,-930.981142,0.0,0.0,254.544104,376.0775,752.155,0.00014,6491.128,0.0,6491.128,0,0,7418.432,13909.56,428035.752455,0,1,12,0,6,2,4,0.000,9.75,0.892,9.56,5.00,3.00,0
50,2016.81,223741.0,70999.525,-90.915,6533.555,42.427,0.0,0.0,0.0,0.0,1158.015,29.7825,69583.071166,-124.59223,22374.1,2389.5,47677.168666,-2499.893041,0.0,0.0,258.438834,386.005,772.01,0.00014,6533.555,0.0,6533.555,1,1,7466.92,14000.475,431709.848832,0,3,13,0,6,6,0,16.667,9.60,0.856,9.46,5.00,3.00,0
51,2016.95,207215.0,70803.565,-195.96,6625.003,91.448,0.0,0.0,0.0,0.0,1168.893,10.878,69382.114722,-200.956444,20721.5,-1652.6,49121.751188,1444.582522,0.0,0.0,252.557278,389.631,779.262,0.00014,6625.003,0.0,6625.003,2,2,7571.432,14196.435,439252.572378,0,3,11,0,6,6,0,33.333,9.55,0.959,0.70,0.00,0.00,0
52,2018.71,220787.0,70745.605,-57.96,6652.051,27.048,0.0,0.0,0.0,0.0,1193.3805,24.4875,69299.755591,-82.359131,22078.7,1357.2,47678.700364,-1443.050824,0.0,0.0,252.468909,397.7935,795.587,0.00014,6652.051,0.0,6652.051,2,2,7602.344,14254.395,448379.900727,0,1,10,0,6,2,4,33.333,9.49,0.996,8.75,5.00,3.00,0
53,2017.14,218829.0,70614.835,-130.77,6713.077,61.026,0.0,0.0,0.0,0.0,1200.174,6.7935,69158.305694,-141.449897,21882.9,-195.8,47736.965178,58.264814,0.0,0.0,256.355306,400.058,800.116,0.00014,6713.077,0.0,6713.077,1,1,7672.088,14385.165,451682.987546,0,2,10,0,6,4,2,16.667,9.41,0.919,7.78,4.00,3.00,0
54,2013.87,165873.0,69854.965,-759.87,7067.683,354.606,0.0,0.0,0.0,0.0,1202.4105,2.2365,68354.30494,-804.000754,16587.3,-5295.6,52284.632247,4547.667069,0.0,0.0,298.24956,400.8035,801.607,0.00014,7067.683,0.0,7067.683,3,3,8077.352,15145.035,462476.189266,0,1,7,0,6,2,4,50.000,9.40,0.470,16.21,9.00,6.00,0
55,2016.74,168913.0,69849.835,-5.13,7070.077,2.394,0.0,0.0,0.0,0.0,1208.0625,5.652,68346.964,-7.34094,16891.3,304.0,51885.411159,-399.221088,0.0,0.0,294.8085,402.6875,805.375,0.00014,7070.077,0.0,7070.077,1,1,8080.088,15150.165,466827.566746,0,2,7,0,6,4,2,16.667,9.47,0.479,14.23,8.00,5.00,0
56,2016.21,170259.0,69793.315,-56.52,7096.453,26.376,0.0,0.0,0.0,0.0,1213.407,5.3445,68285.761223,-61.202777,17025.9,134.6,51704.297286,-181.113873,0.0,0.0,294.146777,404.469,808.938,0.00014,7096.453,0.0,7096.453,1,1,8110.232,15206.685,471151.828428,0,2,8,0,6,4,2,16.667,9.64,0.458,2.60,1.00,1.00,0
57,2019.38,144696.0,69409.87,-383.445,7275.394,178.941,0.0,0.0,0.0,0.0,1213.407,0.0,67892.886186,-392.875037,14469.6,-2556.3,53778.410149,2074.112863,0.0,0.0,303.576814,404.469,808.938,0.00014,7275.394,0.0,7275.394,3,3,8314.736,15590.13,483072.858761,0,0,5,0,6,0,6,50.000,9.64,0.586,15.71,9.00,6.00,0
58,2016.52,148092.0,69409.87,0.0,7275.394,0.0,0.0,0.0,0.0,0.0,1215.954,2.547,67890.339186,-2.547,14809.2,339.6,53489.190413,-289.219736,0.0,0.0,303.576814,405.318,810.636,0.00014,7275.394,0.0,7275.394,0,0,8314.736,15590.13,483072.858761,0,1,7,0,6,2,4,0.000,9.69,0.594,14.16,8.00,5.00,0
59,2012.59,120678.0,68776.87,-633.0,7570.794,295.4,0.0,0.0,0.0,0.0,1229.5905,13.6365,67229.00013,-661.339056,12067.8,-2741.4,55656.689605,2167.499192,0.0,0.0,318.27937,409.8635,819.727,0.000163,7570.794,0.0,7570.794,2,2,8652.336,16223.13,490922.062267,0,2,6,0,6,4,2,33.333,9.60,0.203,19.49,11.00,7.00,0
60,2010.06,133011.0,68471.215,-305.655,7713.433,142.639,0.0,0.0,0.0,0.0,1263.237,33.6465,66876.990399,-352.009731,13301.1,1233.3,54184.057651,-1472.631954,0.0,0.0,330.987601,421.079,842.158,0.000163,7713.433,0.0,7713.433,1,1,8815.352,16528.785,494414.307365,0,1,6,0,6,2,4,16.667,9.57,0.140,12.59,7.00,5.00,0
61,2012.13,116866.0,68134.75,-336.465,7870.45,157.017,0.0,0.0,0.0,0.0,1269.012,5.775,66513.212263,-363.778136,11686.6,-1614.5,55353.743864,1169.686213,0.0,0.0,352.525737,423.004,846.008,0.000163,7870.45,0.0,7870.45,1,1,8994.8,16865.25,497717.644025,0,2,8,0,6,4,2,16.667,9.58,0.200,10.29,6.00,4.00,0
62,2011.54,126029.0,68087.605,-47.145,7892.451,22.001,0.0,0.0,0.0,0.0,1284.9315,15.9195,66450.838787,-62.373476,12602.9,916.3,54397.16796,-956.575904,0.0,0.0,351.834713,428.3105,856.621,0.000163,7892.451,0.0,7892.451,1,1,9019.944,16912.395,502356.210543,0,3,9,0,6,6,0,16.667,9.62,0.217,2.94,1.00,1.00,0
63,2013.40,118685.0,67933.045,-154.56,7964.579,72.128,0.0,0.0,0.0,0.0,1287.1515,2.22,66287.197481,-163.641306,11868.5,-734.4,54900.39072,503.22276,0.0,0.0,358.696019,429.0505,858.101,0.000163,7964.579,0.0,7964.579,3,3,9102.376,17066.955,513110.239813,0,1,7,0,6,2,4,50.000,9.57,0.253,9.25,5.00,3.00,0
64,2012.83,173265.0,67933.045,0.0,7964.579,0.0,0.0,0.0,0.0,0.0,1330.3065,43.155,66244.457897,-42.739584,17326.5,5458.0,49418.94759,-5481.44313,0.0,0.0,358.280603,443.4355,886.871,0.000163,7964.579,0.0,7964.579,0,0,9102.376,17066.955,513110.239813,0,1,8,0,6,2,4,0.000,9.54,0.420,2.81,1.00,1.00,0
65,2009.45,154681.0,67163.875,-769.17,8323.525,358.946,0.0,0.0,0.0,0.0,1354.827,24.5205,65390.669164,-853.788733,15468.1,-1858.4,50601.613249,1182.665659,0.0,0.0,418.378836,451.609,903.218,0.000163,8323.525,0.0,8323.525,5,5,9512.6,17836.125,531823.053907,0,1,5,0,6,2,4,83.333,9.52,0.118,16.80,10.00,6.00,0
66,2008.36,140976.0,66918.67,-245.205,8437.954,114.429,0.0,0.0,0.0,0.0,1356.8085,1.9815,65134.619165,-256.049999,14097.6,-1370.5,51790.701084,1189.087835,0.0,0.0,427.242335,452.2695,904.539,0.000163,8437.954,0.0,8437.954,1,1,9643.376,18081.33,535629.051542,0,1,6,0,6,2,4,16.667,9.48,0.009,5.42,3.00,2.00,0
67,2012.19,132874.0,66653.65,-265.02,8561.63,123.676,0.0,0.0,0.0,0.0,1363.983,7.1745,64837.571744,-297.047421,13287.4,-810.2,52066.02579,275.324706,0.0,0.0,452.095256,454.661,909.322,0.000163,8561.63,0.0,8561.63,2,2,9784.72,18346.35,543112.163492,0,1,6,0,6,2,4,33.333,9.43,0.048,19.09,11.00,7.00,0
68,2016.01,111433.0,66150.355,-503.295,8796.501,234.871,0.0,0.0,0.0,0.0,1373.067,9.084,64270.626874,-566.94487,11143.3,-2144.1,53511.767031,1445.741241,0.0,0.0,506.661126,457.689,915.378,0.000163,8796.501,0.0,8796.501,2,2,10053.144,18849.645,549749.013349,0,2,7,0,6,4,2,33.333,9.44,0.122,18.98,11.00,7.00,0
