step,positionId,trader,positionSize,penaltyCollected,rewardPaid,marginReturned,marginLost,insuranceInflow,insuranceOutflow,badDebt
93,111,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,4461.0,66.915,35.688,3503.801399,102.603,66.915,0.0,0.0
93,109,0xdD2FD4581271e230360230F9337D5c0430Bf44C0,4569.0,68.535,36.552,3686.775077,105.087,68.535,0.0,0.0
94,347,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,2862.0,42.93,22.896,3741.394236,65.826,42.93,0.0,0.0
94,349,0xbDA5747bFD65F08deb54cb465eB87D40e51B197E,3088.0,46.32,24.704,2518.047098,71.024,46.32,0.0,0.0
95,351,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,4218.0,63.27,33.744,2194.912233,97.014,63.27,0.0,0.0
96,356,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,4100.0,61.5,32.8,1915.797336,94.3,61.5,0.0,0.0
96,352,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,1140.0,17.1,9.12,3055.304842,26.22,17.1,0.0,0.0
96,354,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,1917.0,28.755,15.336,2433.088031,44.091,28.755,0.0,0.0
97,358,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,3656.0,54.84,29.248,1830.228513,84.088,54.84,0.0,0.0
97,360,0x90F79bf6EB2c4f870365E785982E1f101E93b906,10323.0,154.845,82.584,1070.962603,237.429,154.845,0.0,0.0
97,362,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,4131.0,61.965,33.048,3637.75302,95.013,61.965,0.0,0.0
98,364,0x90F79bf6EB2c4f870365E785982E1f101E93b906,221.0,3.315,1.768,1065.647384,5.083,3.315,0.0,0.0
98,368,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,996.0,14.94,7.968,3613.798457,22.908,14.94,0.0,0.0
98,350,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,4218.0,63.27,33.744,3400.494105,97.014,63.27,0.0,0.0
98,366,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,3819.0,57.285,30.552,2959.635963,87.837,57.285,0.0,0.0
99,370,0xFABB0ac9d68B0B445fB7357272Ff202C5651694a,3738.0,56.07,29.904,3052.540533,85.974,56.07,0.0,0.0
