step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,makerFeesCollected,takerFeesCollected,fundingFeesTransferred,insuranceFundInflow,insuranceFundOutflow,liquidations,liquidatorOrders,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
27,2000.00,0.0,90000.0,83341.834,0.0,356.888,50.984,101.968,0.0,83341.834,0.0,0,0,101.968,203.936,0.0,0,0,0,0,6,0,6,0.000,8.47,0.000,0.00,0.00,0.00,0
28,2000.00,0.0,90000.0,83341.834,0.0,356.888,50.984,101.968,0.0,83341.834,0.0,0,0,101.968,203.936,0.0,0,0,0,0,6,0,6,0.000,8.47,0.000,0.00,0.00,0.00,0
29,2000.00,0.0,90000.0,83341.834,0.0,356.888,50.984,101.968,0.0,83341.834,0.0,0,0,101.968,203.936,0.0,0,0,0,0,6,0,6,0.000,8.47,0.000,0.00,0.00,0.00,0
30,2000.00,0.0,90000.0,83341.834,0.0,356.888,50.984,101.968,0.0,83341.834,0.0,0,0,101.968,203.936,0.0,0,0,0,0,6,0,6,0.000,8.47,0.000,0.00,0.00,0.00,0
31,2000.00,0.0,90000.0,83341.834,0.0,356.888,50.984,101.968,0.0,83341.834,0.0,0,0,101.968,203.936,0.0,0,0,0,0,6,0,6,0.000,8.47,0.000,0.00,0.00,0.00,0
32,2000.00,0.0,90000.0,83341.834,0.0,356.888,50.984,101.968,0.0,83341.834,0.0,0,0,101.968,203.936,0.0,0,0,0,0,6,0,6,0.000,8.47,0.000,0.00,0.00,0.00,0
33,2000.00,0.0,90000.0,83341.834,0.0,356.888,50.984,101.968,0.0,83341.834,0.0,0,0,101.968,203.936,0.0,0,0,0,0,6,0,6,0.000,8.47,0.000,0.00,0.00,0.00,0
34,2000.00,0.0,90000.0,83341.834,0.0,356.888,50.984,101.968,0.0,83341.834,0.0,0,0,101.968,203.936,0.0,0,0,0,0,6,0,6,0.000,8.47,0.000,0.00,0.00,0.00,0
35,2000.00,0.0,90000.0,83341.834,0.0,356.888,50.984,101.968,0.0,83341.834,0.0,0,0,101.968,203.936,0.0,0,0,0,0,6,0,6,0.000,8.47,0.000,0.00,0.00,0.00,0
36,2000.00,0.0,90000.0,83608.575,0.0,359.485,51.355,102.71,0.0,83608.575,0.0,2,2,102.71,205.42,0.0,0,1,0,0,6,2,4,33.333,8.27,0.000,0.00,0.00,0.00,0
37,2000.00,0.0,90000.0,83608.575,0.0,359.485,51.355,102.71,0.0,83608.575,0.0,0,0,102.71,205.42,0.0,0,0,0,0,6,0,6,0.000,8.27,0.000,0.00,0.00,0.00,0
38,2000.00,0.0,90000.0,83608.575,0.0,359.485,51.355,102.71,0.0,83608.575,0.0,0,0,102.71,205.42,0.0,0,0,0,0,6,0,6,0.000,8.27,0.000,0.00,0.00,0.00,0
39,2000.00,0.0,90000.0,83608.575,0.0,359.485,51.355,102.71,0.0,83608.575,0.0,0,0,102.71,205.42,0.0,0,0,0,0,6,0,6,0.000,8.27,0.000,0.00,0.00,0.00,0
40,2000.00,0.0,90000.0,83608.575,0.0,359.485,51.355,102.71,0.0,83608.575,0.0,0,0,102.71,205.42,0.0,0,0,0,0,6,0,6,0.000,8.27,0.000,0.00,0.00,0.00,0
41,2000.00,0.0,90000.0,83608.575,0.0,359.485,51.355,102.71,0.0,83608.575,0.0,0,0,102.71,205.42,0.0,0,0,0,0,6,0,6,0.000,8.27,0.000,0.00,0.00,0.00,0
42,2000.00,0.0,90000.0,83608.575,0.0,359.485,51.355,102.71,0.0,83608.575,0.0,0,0,102.71,205.42,0.0,0,0,0,0,6,0,6,0.000,8.27,0.000,0.00,0.00,0.00,0
43,2000.00,0.0,90000.0,83638.8995,0.0,362.8415,51.8345,103.669,0.0,83638.8995,0.0,2,2,103.669,207.338,0.0,0,1,0,0,6,2,4,33.333,8.01,0.000,0.00,0.00,0.00,0
44,2000.00,0.0,90000.0,83638.8995,0.0,362.8415,51.8345,103.669,0.0,83638.8995,0.0,0,0,103.669,207.338,0.0,0,0,0,0,6,0,6,0.000,8.01,0.000,0.00,0.00,0.00,0
45,2000.00,0.0,90000.0,83638.8995,0.0,362.8415,51.8345,103.669,0.0,83638.8995,0.0,0,0,103.669,207.338,0.0,0,0,0,0,6,0,6,0.000,8.01,0.000,0.00,0.00,0.00,0
