step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,makerFeesCollected,takerFeesCollected,fundingFeesTransferred,insuranceFundInflow,insuranceFundOutflow,liquidations,liquidatorOrders,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
23,2028.43,2791291.409608,396189.414797,990462.469538,0.0,4880.786082,1830.294775,3050.491298,39634.910231,13692.542785,23230.073247,6,11,794.974685,1490.577543,97086.284651,46,20,14,65,34,24,1,17.647,14.68,1.143,7.50,6.77,4.16,0
24,2028.05,2782917.551291,396365.99986,990903.961316,0.0,5037.41278,1889.029786,3148.382984,41225.148778,14134.034563,23230.073247,5,9,821.601369,1540.502576,100338.06848,41,20,14,67,34,24,1,14.706,14.71,1.143,6.93,4.87,4.04,0
25,2024.59,2774568.813998,396539.898238,991338.581887,0.0,5186.141001,1944.802868,3241.338122,42810.616625,14568.655134,23230.073247,7,12,855.094711,1603.302594,104428.44299,43,21,14,67,28,20,1,25.000,14.80,1.143,7.28,5.47,4.41,0
26,2023.18,2766245.140935,395744.178242,989349.016352,0.0,5420.036245,2032.513584,3387.522649,44391.32812,15257.119312,25908.10296,7,12,910.415279,1707.02866,111184.467477,45,20,13,69,35,25,1,20.000,14.80,1.143,6.57,6.68,2.94,0
27,2020.80,2757946.458939,396029.242653,990062.018713,0.0,5674.598861,2127.974565,3546.624284,45967.297506,15970.121673,25908.10296,5,10,951.266382,1783.624479,116173.408529,42,21,13,68,22,16,0,22.727,14.84,1.143,6.79,5.77,3.84,0
28,2022.83,2749672.646919,395756.780829,989380.831353,0.0,5823.5397,2183.827379,3639.712308,47538.538988,16390.670691,27009.839338,5,9,976.971405,1831.821398,119312.634549,38,20,13,69,31,22,1,16.129,14.49,1.143,6.08,5.12,3.80,0
29,2019.61,2741423.679924,395608.67601,989010.67215,0.0,6105.485266,2289.556966,3815.928287,49105.066729,17200.469427,28189.797277,6,10,1032.936642,1936.756217,126147.389125,40,21,12,70,32,23,1,18.750,14.39,1.143,7.52,6.54,3.46,0
30,2017.82,2733199.438867,395226.699932,988055.276099,0.0,6300.17401,2362.565245,3937.608752,50666.894896,17750.806744,29695.530645,5,10,1066.864885,2000.371673,130290.875867,42,20,15,69,21,15,0,23.810,14.35,1.143,7.68,5.70,2.80,0
31,2014.32,2724999.86697,394962.236445,987394.525519,0.0,6485.276563,2431.978702,4053.297847,52224.037564,18271.116494,30876.590975,5,10,1097.560014,2057.92504,134039.518535,43,21,16,72,37,26,1,13.514,14.36,1.143,6.27,6.59,3.39,0
32,2015.36,2716824.909563,394233.040841,985571.425454,0.0,6751.203993,2531.701488,4219.502491,53776.50877,19023.104957,33451.679503,5,10,1144.050619,2145.094925,139717.183774,43,20,14,70,20,14,0,25.000,14.30,1.143,6.62,5.90,3.18,0
33,2018.80,2708674.464431,393708.041605,984259.10352,0.0,6977.433158,2616.537425,4360.895719,55324.322592,19658.624568,35399.521048,5,9,1181.355523,2215.041621,144273.045266,38,21,14,72,34,24,1,14.706,14.44,1.143,7.45,5.86,4.31,0
34,2017.57,2700548.473651,393115.098494,982776.615611,0.0,7159.247959,2684.717975,4474.529969,56867.492977,20184.450875,37407.835264,6,11,1219.376485,2286.330925,148916.355282,44,20,15,71,28,20,1,21.429,14.35,1.143,7.10,7.17,4.49,0
