step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,makerFeesCollected,takerFeesCollected,fundingFeesTransferred,insuranceFundInflow,insuranceFundOutflow,liquidations,liquidatorOrders,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
0,2003.84,15034.0,90000.0,150.34,0.0,11.2755,3.7585,7.517,0.0,150.34,0.0,0,0,0.0,0.0,0.0,0,3,5,0,6,6,0,0.000,11.83,1.000,19.19,11.00,7.00,0
1,2002.29,75745.0,90000.0,9928.388141,0.0,137.6165,20.8155,41.631,0.0,9928.388141,0.0,3,3,37.585,75.17,0.0,0,2,4,0,6,4,2,50.000,12.12,0.819,7.73,4.00,3.00,0
2,2002.16,83209.0,90000.0,15191.283641,0.0,509.94,31.21,62.42,0.0,15191.283641,0.0,2,2,208.155,416.31,0.0,0,3,8,0,6,6,0,33.333,11.65,0.333,0.63,0.00,0.00,0
3,2004.71,25883.0,90000.0,34104.693748,0.0,1077.890578,32.4835,64.967,0.0,34104.693748,0.0,8,8,520.255,980.440078,0.0,0,1,5,0,6,2,4,133.333,10.86,9.162,12.72,7.00,5.00,0
4,2004.78,48446.0,90000.0,39061.615248,0.0,1122.193078,38.761,77.522,0.0,39061.615248,0.0,1,1,532.99,1005.910078,0.0,0,3,8,0,6,6,0,16.667,11.16,2.859,0.38,0.00,0.00,0
5,2003.56,78466.0,90000.0,51896.110823,0.0,1307.054578,50.0415,100.083,0.0,51896.110823,0.0,4,4,608.5,1156.930078,0.0,0,2,7,0,6,4,2,66.667,10.37,1.234,6.10,3.00,2.00,0
6,2000.15,70418.0,90000.0,53202.610693,0.0,1633.555444,58.867,117.734,0.0,53202.610693,0.0,5,5,825.25,1456.954444,0.0,0,2,5,0,6,4,2,83.333,10.47,0.335,17.05,10.00,6.00,0
7,2002.28,55209.0,90000.0,56409.594465,0.0,1811.896944,59.4775,118.955,0.0,56409.594465,0.0,2,2,913.505,1633.464444,0.0,0,1,6,0,6,2,4,33.333,10.15,0.519,10.66,6.00,4.00,0
8,2006.26,18872.0,90000.0,61306.914407,0.0,2175.266944,59.4775,118.955,0.0,61306.914407,0.0,6,6,1095.19,1996.834444,0.0,0,0,3,0,6,0,6,100.000,10.15,0.000,19.87,11.00,7.00,0
9,2008.86,18872.0,90000.0,61306.914407,0.0,2175.266944,59.4775,118.955,0.0,61306.914407,0.0,0,0,1095.19,1996.834444,0.0,0,0,3,0,6,0,6,0.000,10.15,0.000,13.00,7.00,5.00,0
10,2008.54,18872.0,90000.0,61306.914407,0.0,2175.266944,59.4775,118.955,0.0,61306.914407,0.0,0,0,1095.19,1996.834444,0.0,0,0,3,0,6,0,6,0.000,10.15,0.000,1.60,0.00,0.00,0
11,2012.12,40514.0,90000.0,61523.334407,0.0,2191.498444,64.888,129.776,0.000046,61523.334407,0.0,0,0,1095.19,1996.834444,0.0,0,1,4,0,6,2,4,0.000,9.83,2.744,17.83,10.00,7.00,0
12,2015.27,29693.0,90000.0,61649.602631,0.0,2299.708444,64.888,129.776,0.000046,61649.602631,0.0,1,1,1149.295,2105.044444,0.0,0,0,3,0,6,0,6,16.667,9.83,0.000,15.62,9.00,6.00,0
13,2019.05,33383.0,90000.0,61686.502631,0.0,2302.475944,65.8105,131.621,0.000046,61686.502631,0.0,0,0,1149.295,2105.044444,0.0,0,2,6,0,6,4,2,0.000,9.78,17.094,18.77,11.00,7.00,0
14,2020.08,41942.0,90000.0,61858.122538,0.0,2328.728944,68.4115,136.823,0.000046,61858.122538,0.0,2,2,1158.52,2123.494444,0.0,0,1,6,0,6,2,4,33.333,9.43,7.063,5.11,3.00,2.00,0
15,2018.05,34895.0,90000.0,64847.995726,0.0,2399.198944,68.4115,136.823,0.000046,64847.995726,0.0,3,3,1193.755,2193.964444,0.0,0,0,4,0,6,0,6,50.000,9.43,5.708,10.05,6.00,4.00,0
16,2017.84,36703.0,90000.0,64866.075726,0.0,2400.554944,68.8635,137.727,0.000046,64866.075726,0.0,0,0,1193.755,2193.964444,0.0,0,1,6,0,6,2,4,0.000,9.27,5.011,1.07,0.00,0.00,0
17,2016.26,35799.0,90000.0,64997.73567,0.0,2409.594944,68.8635,137.727,0.000046,64997.73567,0.0,1,1,1198.275,2203.004444,0.0,0,0,5,0,6,0,6,16.667,9.27,4.863,7.80,4.00,3.00,0
18,2018.46,34895.0,90000.0,65099.80894,0.0,2418.634944,68.8635,137.727,0.000046,65099.80894,0.0,1,1,1202.795,2212.044444,0.0,0,0,4,0,6,0,6,16.667,9.27,5.708,10.90,6.00,4.00,0
19,2021.41,37633.0,90000.0,65643.570213,0.0,2476.609944,70.8485,141.697,0.000046,65643.570213,0.0,1,1,1228.805,2264.064444,0.0,0,2,6,0,6,4,2,16.667,9.54,8.479,14.61,8.00,5.00,0
