step,liquidatorOrders,liquidations,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,insuranceFundOutflow
0,0,0,0.0,0.0,0.0,0.0
1,3,3,37.585,75.17,0.0,0.0
2,2,2,208.155,416.31,0.0,0.0
3,8,8,520.255,980.440078,0.0,0.0
4,1,1,532.99,1005.910078,0.0,0.0
5,4,4,608.5,1156.930078,0.0,0.0
6,5,5,825.25,1456.954444,0.0,0.0
7,2,2,913.505,1633.464444,0.0,0.0
8,6,6,1095.19,1996.834444,0.0,0.0
9,0,0,1095.19,1996.834444,0.0,0.0
10,0,0,1095.19,1996.834444,0.0,0.0
11,0,0,1095.19,1996.834444,0.0,0.0
12,1,1,1149.295,2105.044444,0.0,0.0
13,0,0,1149.295,2105.044444,0.0,0.0
14,2,2,1158.52,2123.494444,0.0,0.0
15,3,3,1193.755,2193.964444,0.0,0.0
16,0,0,1193.755,2193.964444,0.0,0.0
17,1,1,1198.275,2203.004444,0.0,0.0
18,1,1,1202.795,2212.044444,0.0,0.0
19,1,1,1228.805,2264.064444,0.0,0.0
