step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,makerFeesCollected,takerFeesCollected,fundingFeesTransferred,insuranceFundInflow,insuranceFundOutflow,liquidations,liquidatorOrders,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
0,2003.84,15034.0,90000.0,150.34,0.0,11.2755,3.7585,7.517,0.0,150.34,0.0,0,0,0.0,0.0,0.0,0,3,5,0,6,6,0,0.000,11.83,1.000,19.19,11.00,7.00,0
1,2002.29,75745.0,90000.0,9928.388141,0.0,137.6165,20.8155,41.631,0.0,9928.388141,0.0,3,3,37.585,75.17,0.0,0,2,4,0,6,4,2,50.000,12.12,0.819,7.73,4.00,3.00,0
2,2002.16,83209.0,90000.0,15191.283641,0.0,509.94,31.21,62.42,0.0,15191.283641,0.0,2,2,208.155,416.31,0.0,0,3,8,0,6,6,0,33.333,11.65,0.333,0.63,0.00,0.00,0
3,2004.71,25883.0,90000.0,34104.693748,0.0,1077.890578,32.4835,64.967,0.0,34104.693748,0.0,8,8,520.255,980.440078,0.0,0,1,5,0,6,2,4,133.333,10.86,9.162,12.72,7.00,5.00,0
4,2004.78,48446.0,90000.0,39061.615248,0.0,1122.193078,38.761,77.522,0.0,39061.615248,0.0,1,1,532.99,1005.910078,0.0,0,3,8,0,6,6,0,16.667,11.16,2.859,0.38,0.00,0.00,0
5,2003.56,78466.0,90000.0,51896.110823,0.0,1307.054578,50.0415,100.083,0.0,51896.110823,0.0,4,4,608.5,1156.930078,0.0,0,2,7,0,6,4,2,66.667,10.37,1.234,6.10,3.00,2.00,0
6,2000.15,70418.0,90000.0,53202.610693,0.0,1633.555444,58.867,117.734,0.0,53202.610693,0.0,5,5,825.25,1456.954444,0.0,0,2,5,0,6,4,2,83.333,10.47,0.335,17.05,10.00,6.00,0
7,2002.28,55209.0,90000.0,56409.594465,0.0,1811.896944,59.4775,118.955,0.0,56409.594465,0.0,2,2,913.505,1633.464444,0.0,0,1,6,0,6,2,4,33.333,10.15,0.519,10.66,6.00,4.00,0
8,2006.26,18872.0,90000.0,61306.914407,0.0,2175.266944,59.4775,118.955,0.0,61306.914407,0.0,6,6,1095.19,1996.834444,0.0,0,0,3,0,6,0,6,100.000,10.15,0.000,19.87,11.00,7.00,0
9,2008.86,18872.0,90000.0,61306.914407,0.0,2175.266944,59.4775,118.955,0.0,61306.914407,0.0,0,0,1095.19,1996.834444,0.0,0,0,3,0,6,0,6,0.000,10.15,0.000,13.00,7.00,5.00,0
10,2008.54,18872.0,90000.0,61306.914407,0.0,2175.266944,59.4775,118.955,0.0,61306.914407,0.0,0,0,1095.19,1996.834444,0.0,0,0,3,0,6,0,6,0.000,10.15,0.000,1.60,0.00,0.00,0
11,2012.12,40514.0,90000.0,61523.334407,0.0,2191.498444,64.888,129.776,0.000046,61523.334407,0.0,0,0,1095.19,1996.834444,0.0,0,1,4,0,6,2,4,0.000,9.83,2.744,17.83,10.00,7.00,0
12,2015.27,29693.0,90000.0,61649.602631,0.0,2299.708444,64.888,129.776,0.000046,61649.602631,0.0,1,1,1149.295,2105.044444,0.0,0,0,3,0,6,0,6,16.667,9.83,0.000,15.62,9.00,6.00,0
13,2019.05,33383.0,90000.0,61686.502631,0.0,2302.475944,65.8105,131.621,0.000046,61686.502631,0.0,0,0,1149.295,2105.044444,0.0,0,2,6,0,6,4,2,0.000,9.78,17.094,18.77,11.00,7.00,0
14,2020.08,41942.0,90000.0,61858.122538,0.0,2328.728944,68.4115,136.823,0.000046,61858.122538,0.0,2,2,1158.52,2123.494444,0.0,0,1,6,0,6,2,4,33.333,9.43,7.063,5.11,3.00,2.00,0
15,2018.05,34895.0,90000.0,64847.995726,0.0,2399.198944,68.4115,136.823,0.000046,64847.995726,0.0,3,3,1193.755,2193.964444,0.0,0,0,4,0,6,0,6,50.000,9.43,5.708,10.05,6.00,4.00,0
16,2017.84,36703.0,90000.0,64866.075726,0.0,2400.554944,68.8635,137.727,0.000046,64866.075726,0.0,0,0,1193.755,2193.964444,0.0,0,1,6,0,6,2,4,0.000,9.27,5.011,1.07,0.00,0.00,0
17,2016.26,35799.0,90000.0,64997.73567,0.0,2409.594944,68.8635,137.727,0.000046,64997.73567,0.0,1,1,1198.275,2203.004444,0.0,0,0,5,0,6,0,6,16.667,9.27,4.863,7.80,4.00,3.00,0
18,2018.46,34895.0,90000.0,65099.80894,0.0,2418.634944,68.8635,137.727,0.000046,65099.80894,0.0,1,1,1202.795,2212.044444,0.0,0,0,4,0,6,0,6,16.667,9.27,5.708,10.90,6.00,4.00,0
19,2021.41,37633.0,90000.0,65643.570213,0.0,2476.609944,70.8485,141.697,0.000046,65643.570213,0.0,1,1,1228.805,2264.064444,0.0,0,2,6,0,6,4,2,16.667,9.54,8.479,14.61,8.00,5.00,0
20,2022.59,33663.0,90000.0,65879.702829,0.0,2516.309944,70.8485,141.697,0.000046,65879.702829,0.0,2,2,1248.655,2303.764444,0.0,0,0,5,0,6,0,6,33.333,9.54,0.000,5.86,3.00,2.00,0
21,2024.86,35103.0,90000.0,65894.102829,0.0,2517.389944,71.2085,142.417,0.000046,65894.102829,0.0,0,0,1248.655,2303.764444,0.0,0,1,7,0,6,2,4,0.000,9.33,47.754,11.21,6.00,4.00,0
22,2027.19,34383.0,90000.0,65963.360526,0.0,2524.589944,71.2085,142.417,0.000046,65963.360526,0.0,1,1,1252.255,2310.964444,0.0,0,0,6,0,6,0,6,16.667,9.33,0.000,11.49,6.00,4.00,0
23,2028.43,34383.0,90000.0,65963.360526,0.0,2524.589944,71.2085,142.417,0.000096,65963.360526,0.0,0,0,1252.255,2310.964444,0.0,0,0,6,0,6,0,6,0.000,9.33,0.000,6.12,3.00,2.00,0
24,2028.05,34383.0,90000.0,65963.360526,0.0,2524.589944,71.2085,142.417,0.000096,65963.360526,0.0,0,0,1252.255,2310.964444,0.0,0,0,6,0,6,0,6,0.000,9.33,0.000,1.88,1.00,0.00,0
25,2024.59,33663.0,90000.0,70865.440526,0.0,2531.789944,71.2085,142.417,0.000096,70865.440526,0.0,1,1,1255.855,2318.164444,0.0,0,0,5,0,6,0,6,16.667,9.33,0.000,17.07,10.00,6.00,0
26,2023.18,33983.0,90000.0,70868.640526,0.0,2532.029944,71.2885,142.577,0.000096,70868.640526,0.0,0,0,1255.855,2318.164444,0.0,0,1,7,0,6,2,4,0.000,9.70,211.394,6.95,4.00,2.00,0
27,2020.80,43601.0,90000.0,71346.724605,0.0,2577.018556,74.7255,149.451,0.000096,71346.724605,0.0,3,3,1276.505,2352.842056,0.0,0,1,5,0,6,2,4,50.000,9.54,5.199,11.78,7.00,4.00,0
28,2022.83,36727.0,90000.0,72572.05161,0.0,2645.758556,74.7255,149.451,0.000096,72572.05161,0.0,1,1,1310.875,2421.582056,0.0,0,0,5,0,6,0,6,16.667,9.54,228.544,10.09,6.00,4.00,0
29,2019.61,29853.0,90000.0,73365.67076,0.0,2714.498556,74.7255,149.451,0.000096,73365.67076,0.0,1,1,1345.245,2490.322056,0.0,0,0,4,0,6,0,6,16.667,9.54,185.581,15.96,9.00,6.00,0
30,2017.82,29853.0,90000.0,73365.67076,0.0,2714.498556,74.7255,149.451,0.000096,73365.67076,0.0,0,0,1345.245,2490.322056,0.0,0,0,4,0,6,0,6,0.000,9.54,185.581,8.83,5.00,3.00,0
31,2014.32,29853.0,90000.0,73365.67076,0.0,2714.498556,74.7255,149.451,0.000096,73365.67076,0.0,0,0,1345.245,2490.322056,0.0,0,0,4,0,6,0,6,0.000,9.54,185.581,17.38,10.00,6.00,0
32,2015.36,29853.0,90000.0,73365.67076,0.0,2714.498556,74.7255,149.451,0.000096,73365.67076,0.0,0,0,1345.245,2490.322056,0.0,0,0,4,0,6,0,6,0.000,9.54,185.581,5.17,3.00,2.00,0
33,2018.80,29853.0,90000.0,73365.67076,0.0,2714.498556,74.7255,149.451,0.000096,73365.67076,0.0,0,0,1345.245,2490.322056,0.0,0,0,4,0,6,0,6,0.000,9.54,185.581,17.09,10.00,6.00,0
34,2017.57,29853.0,90000.0,73365.67076,0.0,2714.498556,74.7255,149.451,0.000096,73365.67076,0.0,0,0,1345.245,2490.322056,0.0,0,0,4,0,6,0,6,0.000,9.54,185.581,6.09,3.00,2.00,0
35,2015.25,29853.0,90000.0,73365.67076,0.0,2714.498556,74.7255,149.451,0.000146,73365.67076,0.0,0,0,1345.245,2490.322056,0.0,0,0,4,0,6,0,6,0.000,9.54,185.581,11.52,6.00,4.00,0
36,2011.23,19032.0,90000.0,73365.67076,0.0,2812.835878,74.7255,149.451,0.000146,73365.67076,0.0,1,1,1399.35,2588.659378,0.0,0,0,4,0,6,0,6,16.667,9.54,117.950,19.93,11.00,7.00,0
37,2012.69,19032.0,90000.0,73365.67076,0.0,2812.835878,74.7255,149.451,0.000146,73365.67076,0.0,0,0,1399.35,2588.659378,0.0,0,0,4,0,6,0,6,0.000,9.54,117.950,7.25,4.00,2.00,0
38,2015.18,19032.0,90000.0,73365.67076,0.0,2812.835878,74.7255,149.451,0.000146,73365.67076,0.0,0,0,1399.35,2588.659378,0.0,0,0,4,0,6,0,6,0.000,9.54,117.950,12.37,7.00,4.00,0
39,2011.54,19032.0,90000.0,73365.67076,0.0,2812.835878,74.7255,149.451,0.000146,73365.67076,0.0,0,0,1399.35,2588.659378,0.0,0,0,4,0,6,0,6,0.000,9.54,117.950,18.07,10.00,7.00,0
40,2012.32,19032.0,90000.0,73365.67076,0.0,2812.835878,74.7255,149.451,0.000146,73365.67076,0.0,0,0,1399.35,2588.659378,0.0,0,0,4,0,6,0,6,0.000,9.54,117.950,3.89,2.00,1.00,0
41,2013.95,19032.0,90000.0,73365.67076,0.0,2812.835878,74.7255,149.451,0.000146,73365.67076,0.0,0,0,1399.35,2588.659378,0.0,0,0,4,0,6,0,6,0.000,9.54,117.950,8.10,4.00,3.00,0
42,2017.47,22296.0,90000.0,73398.31076,0.0,2815.283878,75.5415,151.083,0.000146,73398.31076,0.0,0,0,1399.35,2588.659378,0.0,0,1,5,0,6,2,4,0.000,9.68,11.442,17.48,10.00,6.00,0
43,2013.73,20664.0,90000.0,74253.660835,0.0,2831.603878,75.5415,151.083,0.000146,74253.660835,0.0,1,1,1407.51,2604.979378,0.0,0,0,5,0,6,0,6,16.667,9.68,10.531,18.52,11.00,7.00,0
44,2014.25,20664.0,90000.0,74253.660835,0.0,2831.603878,75.5415,151.083,0.000146,74253.660835,0.0,0,0,1407.51,2604.979378,0.0,0,0,5,0,6,0,6,0.000,9.68,10.531,2.58,1.00,1.00,0
45,2017.49,19032.0,90000.0,74253.660835,0.0,2840.476944,75.5415,151.083,0.000146,74253.660835,0.0,1,1,1415.67,2613.852444,0.0,0,0,4,0,6,0,6,16.667,9.68,117.950,16.08,9.00,6.00,0
46,2018.20,19032.0,90000.0,74253.660835,0.0,2840.476944,75.5415,151.083,0.000146,74253.660835,0.0,0,0,1415.67,2613.852444,0.0,0,0,4,0,6,0,6,0.000,9.68,117.950,3.50,2.00,1.00,0
47,2020.96,19032.0,90000.0,74253.660835,0.0,2840.476944,75.5415,151.083,0.000196,74253.660835,0.0,0,0,1415.67,2613.852444,0.0,0,0,4,0,6,0,6,0.000,9.68,117.950,13.68,8.00,5.00,0
